"","Year","Locator","μg/L"
"1",1980,"0311",42
"2",1980,"0317",605
"3",1980,"0321",98.5
"4",1980,"0322",43
"5",1980,"0430",21.5
"6",1980,"0434",34
"7",1980,"0438",16.75
"8",1980,"0440",19
"9",1980,"0442",15
"10",1980,"0444",46.5
"11",1980,"0446",31
"12",1980,"0470",36
"13",1980,"0474",37
"14",1980,"0478",30
"15",1980,"0484",42
"16",1980,"0631",17
"17",1980,"A315",200.5
"18",1980,"A320",17
"19",1980,"A432",37.5
"20",1980,"A456",50.5
"21",1980,"A499",34
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",40
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",21
"29",1980,"C320",15.5
"30",1980,"C370",62
"31",1980,"D320",12.5
"32",1980,"G320",16.5
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",29
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",27
"41",1981,"0317",389.5
"42",1981,"0321",42
"43",1981,"0322",32
"44",1981,"0430",13.5
"45",1981,"0434",20.5
"46",1981,"0438",20
"47",1981,"0440",18
"48",1981,"0442",12
"49",1981,"0444",32.5
"50",1981,"0446",25
"51",1981,"0470",26
"52",1981,"0474",41.5
"53",1981,"0478",28
"54",1981,"0484",46.5
"55",1981,"0631",41
"56",1981,"A315",206.5
"57",1981,"A320",17
"58",1981,"A432",24
"59",1981,"A456",29
"60",1981,"A499",15
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",53
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",25
"68",1981,"C320",16
"69",1981,"C370",53
"70",1981,"D320",6.5
"71",1981,"G320",21.5
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",20
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",30.45
"80",1982,"0317",535
"81",1982,"0321",83
"82",1982,"0322",20
"83",1982,"0430",38.5
"84",1982,"0434",39
"85",1982,"0438",13
"86",1982,"0440",23.5
"87",1982,"0442",28
"88",1982,"0444",40.5
"89",1982,"0446",29
"90",1982,"0470",27.5
"91",1982,"0474",61.5
"92",1982,"0478",31
"93",1982,"0484",45
"94",1982,"0631",28.5
"95",1982,"A315",137
"96",1982,"A320",14
"97",1982,"A432",37.5
"98",1982,"A456",49
"99",1982,"A499",26.5
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",61
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",25.5
"107",1982,"C320",11.5
"108",1982,"C370",49
"109",1982,"D320",9
"110",1982,"G320",18.5
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",30
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",32
"119",1983,"0317",522
"120",1983,"0321",NA
"121",1983,"0322",12
"122",1983,"0430",15
"123",1983,"0434",30
"124",1983,"0438",NA
"125",1983,"0440",23
"126",1983,"0442",5
"127",1983,"0444",32
"128",1983,"0446",24
"129",1983,"0470",19
"130",1983,"0474",48.5
"131",1983,"0478",23
"132",1983,"0484",26
"133",1983,"0631",30
"134",1983,"A315",106
"135",1983,"A320",9.5
"136",1983,"A432",18.5
"137",1983,"A456",31
"138",1983,"A499",4
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",71
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",15
"146",1983,"C320",12
"147",1983,"C370",NA
"148",1983,"D320",7
"149",1983,"G320",15
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",8
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",25.1
"158",1984,"0317",565.5
"159",1984,"0321",NA
"160",1984,"0322",46.5
"161",1984,"0430",8
"162",1984,"0434",18.5
"163",1984,"0438",NA
"164",1984,"0440",29.5
"165",1984,"0442",7
"166",1984,"0444",25
"167",1984,"0446",14
"168",1984,"0470",5.5
"169",1984,"0474",29
"170",1984,"0478",17
"171",1984,"0484",17
"172",1984,"0631",15
"173",1984,"A315",151.5
"174",1984,"A320",7.5
"175",1984,"A432",8.5
"176",1984,"A456",20.5
"177",1984,"A499",6.5
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",36
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",6.5
"185",1984,"C320",7
"186",1984,"C370",NA
"187",1984,"D320",5.5
"188",1984,"G320",10
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",11
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",23.7
"197",1985,"0317",644.5
"198",1985,"0321",NA
"199",1985,"0322",39
"200",1985,"0430",5.5
"201",1985,"0434",20
"202",1985,"0438",NA
"203",1985,"0440",9.5
"204",1985,"0442",1
"205",1985,"0444",22.5
"206",1985,"0446",13.5
"207",1985,"0470",8
"208",1985,"0474",26
"209",1985,"0478",15
"210",1985,"0484",13
"211",1985,"0631",4.5
"212",1985,"A315",135.5
"213",1985,"A320",3
"214",1985,"A432",10
"215",1985,"A456",16.5
"216",1985,"A499",4.5
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",35
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",10
"224",1985,"C320",7.5
"225",1985,"C370",NA
"226",1985,"D320",4
"227",1985,"G320",10
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",6
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",20.8
"236",1986,"0317",456
"237",1986,"0321",NA
"238",1986,"0322",24
"239",1986,"0430",10
"240",1986,"0434",23
"241",1986,"0438",NA
"242",1986,"0440",6
"243",1986,"0442",2
"244",1986,"0444",23
"245",1986,"0446",31
"246",1986,"0470",13
"247",1986,"0474",42
"248",1986,"0478",20
"249",1986,"0484",15
"250",1986,"0631",7
"251",1986,"A315",94
"252",1986,"A320",1
"253",1986,"A432",22
"254",1986,"A456",38
"255",1986,"A499",5
"256",1986,"A617",NA
"257",1986,"A620",NA
"258",1986,"A630",56
"259",1986,"A680",NA
"260",1986,"A685",NA
"261",1986,"A690",NA
"262",1986,"B484",9
"263",1986,"C320",3
"264",1986,"C370",NA
"265",1986,"D320",2
"266",1986,"G320",4
"267",1986,"KSHZ06",NA
"268",1986,"KTHA03",NA
"269",1986,"N484",13
"270",1986,"VA12A",NA
"271",1986,"VA41A",NA
"272",1986,"VA42A",NA
"273",1986,"VA45A",NA
"274",1987,"0311",32.0555555555556
"275",1987,"0317",462
"276",1987,"0321",NA
"277",1987,"0322",18
"278",1987,"0430",7.5
"279",1987,"0434",20
"280",1987,"0438",NA
"281",1987,"0440",11.5
"282",1987,"0442",6.5
"283",1987,"0444",24.5
"284",1987,"0446",19
"285",1987,"0470",14
"286",1987,"0474",25
"287",1987,"0478",26
"288",1987,"0484",32.75
"289",1987,"0631",14.25
"290",1987,"A315",119
"291",1987,"A320",9.5
"292",1987,"A432",24
"293",1987,"A456",23
"294",1987,"A499",7
"295",1987,"A617",NA
"296",1987,"A620",NA
"297",1987,"A630",56
"298",1987,"A680",NA
"299",1987,"A685",NA
"300",1987,"A690",NA
"301",1987,"B484",15
"302",1987,"C320",9.5
"303",1987,"C370",NA
"304",1987,"D320",7
"305",1987,"G320",8.5
"306",1987,"KSHZ06",NA
"307",1987,"KTHA03",NA
"308",1987,"N484",20
"309",1987,"VA12A",NA
"310",1987,"VA41A",NA
"311",1987,"VA42A",NA
"312",1987,"VA45A",NA
"313",1988,"0311",28.3472222222222
"314",1988,"0317",357
"315",1988,"0321",NA
"316",1988,"0322",11
"317",1988,"0430",5.5
"318",1988,"0434",23
"319",1988,"0438",NA
"320",1988,"0440",8.5
"321",1988,"0442",6.5
"322",1988,"0444",21.5
"323",1988,"0446",15.5
"324",1988,"0470",10.5
"325",1988,"0474",14
"326",1988,"0478",18.5
"327",1988,"0484",30
"328",1988,"0631",11.5
"329",1988,"A315",87
"330",1988,"A320",6
"331",1988,"A432",14.5
"332",1988,"A456",23
"333",1988,"A499",9
"334",1988,"A617",NA
"335",1988,"A620",NA
"336",1988,"A630",53
"337",1988,"A680",14
"338",1988,"A685",NA
"339",1988,"A690",4
"340",1988,"B484",13.5
"341",1988,"C320",10.5
"342",1988,"C370",NA
"343",1988,"D320",5
"344",1988,"G320",6.5
"345",1988,"KSHZ06",NA
"346",1988,"KTHA03",NA
"347",1988,"N484",11
"348",1988,"VA12A",NA
"349",1988,"VA41A",NA
"350",1988,"VA42A",NA
"351",1988,"VA45A",NA
"352",1989,"0311",39.5
"353",1989,"0317",437.75
"354",1989,"0321",NA
"355",1989,"0322",50
"356",1989,"0430",19
"357",1989,"0434",25.5
"358",1989,"0438",NA
"359",1989,"0440",13
"360",1989,"0442",5.5
"361",1989,"0444",23.75
"362",1989,"0446",16.5
"363",1989,"0470",19
"364",1989,"0474",19.5
"365",1989,"0478",20.5
"366",1989,"0484",25.75
"367",1989,"0631",10.75
"368",1989,"A315",213
"369",1989,"A320",4
"370",1989,"A432",23.25
"371",1989,"A456",23
"372",1989,"A499",10
"373",1989,"A617",NA
"374",1989,"A620",NA
"375",1989,"A630",59.5
"376",1989,"A680",NA
"377",1989,"A685",NA
"378",1989,"A690",NA
"379",1989,"B484",12
"380",1989,"C320",4.5
"381",1989,"C370",NA
"382",1989,"D320",1
"383",1989,"G320",7.5
"384",1989,"KSHZ06",6
"385",1989,"KTHA03",2
"386",1989,"N484",7
"387",1989,"VA12A",NA
"388",1989,"VA41A",NA
"389",1989,"VA42A",NA
"390",1989,"VA45A",NA
"391",1990,"0311",31
"392",1990,"0317",197.5
"393",1990,"0321",NA
"394",1990,"0322",82
"395",1990,"0430",13
"396",1990,"0434",22
"397",1990,"0438",NA
"398",1990,"0440",14
"399",1990,"0442",14.5
"400",1990,"0444",23.8333333333333
"401",1990,"0446",22
"402",1990,"0470",17
"403",1990,"0474",21
"404",1990,"0478",15
"405",1990,"0484",24.75
"406",1990,"0631",26.5
"407",1990,"A315",140
"408",1990,"A320",10.5
"409",1990,"A432",22.5
"410",1990,"A456",28
"411",1990,"A499",17
"412",1990,"A617",NA
"413",1990,"A620",NA
"414",1990,"A630",46
"415",1990,"A680",NA
"416",1990,"A685",NA
"417",1990,"A690",NA
"418",1990,"B484",13
"419",1990,"C320",13
"420",1990,"C370",NA
"421",1990,"D320",10
"422",1990,"G320",15
"423",1990,"KSHZ06",10
"424",1990,"KTHA03",10
"425",1990,"N484",19
"426",1990,"VA12A",NA
"427",1990,"VA41A",NA
"428",1990,"VA42A",NA
"429",1990,"VA45A",NA
"430",1991,"0311",28
"431",1991,"0317",190
"432",1991,"0321",NA
"433",1991,"0322",145
"434",1991,"0430",22
"435",1991,"0434",25
"436",1991,"0438",NA
"437",1991,"0440",15
"438",1991,"0442",20
"439",1991,"0444",25
"440",1991,"0446",25.5
"441",1991,"0470",19
"442",1991,"0474",20
"443",1991,"0478",29
"444",1991,"0484",41.75
"445",1991,"0631",19
"446",1991,"A315",102.5
"447",1991,"A320",17
"448",1991,"A432",33
"449",1991,"A456",31
"450",1991,"A499",16
"451",1991,"A617",NA
"452",1991,"A620",NA
"453",1991,"A630",54.5
"454",1991,"A680",NA
"455",1991,"A685",NA
"456",1991,"A690",NA
"457",1991,"B484",16
"458",1991,"C320",17
"459",1991,"C370",NA
"460",1991,"D320",12.5
"461",1991,"G320",15
"462",1991,"KSHZ06",11
"463",1991,"KTHA03",10
"464",1991,"N484",15
"465",1991,"VA12A",NA
"466",1991,"VA41A",NA
"467",1991,"VA42A",NA
"468",1991,"VA45A",NA
"469",1992,"0311",26
