"","Year","Locator","umhos/cm"
"1",1980,"0311",124.75
"2",1980,"0317",315
"3",1980,"0321",95.3333333333333
"4",1980,"0322",129.166666666667
"5",1980,"0430",190.5
"6",1980,"0434",200.5
"7",1980,"0438",75.25
"8",1980,"0440",132
"9",1980,"0442",375
"10",1980,"0444",165
"11",1980,"0446",163.5
"12",1980,"0470",142
"13",1980,"0474",130
"14",1980,"0478",105
"15",1980,"0484",99
"16",1980,"0631",101
"17",1980,"A315",189.5
"18",1980,"A320",105.5
"19",1980,"A432",192
"20",1980,"A456",178.5
"21",1980,"A499",189.5
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",190
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",101
"29",1980,"C320",100.5
"30",1980,"C370",250
"31",1980,"D320",93.5
"32",1980,"G320",54.5
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"LSIN1",NA
"36",1980,"LSIN9",NA
"37",1980,"N484",100
"38",1980,"VA12A",NA
"39",1980,"VA41A",NA
"40",1980,"VA42A",NA
"41",1980,"VA45A",NA
"42",1981,"0311",101.5
"43",1981,"0317",335
"44",1981,"0321",99
"45",1981,"0322",126.5
"46",1981,"0430",195
"47",1981,"0434",222.5
"48",1981,"0438",74.5
"49",1981,"0440",138.5
"50",1981,"0442",475
"51",1981,"0444",180
"52",1981,"0446",171
"53",1981,"0470",154
"54",1981,"0474",136
"55",1981,"0478",110
"56",1981,"0484",100.5
"57",1981,"0631",98
"58",1981,"A315",220
"59",1981,"A320",105
"60",1981,"A432",188.5
"61",1981,"A456",189
"62",1981,"A499",190
"63",1981,"A617",NA
"64",1981,"A620",NA
"65",1981,"A630",181
"66",1981,"A680",NA
"67",1981,"A685",NA
"68",1981,"A690",NA
"69",1981,"B484",104.5
"70",1981,"C320",116.5
"71",1981,"C370",250
"72",1981,"D320",93.5
"73",1981,"G320",55
"74",1981,"KSHZ06",NA
"75",1981,"KTHA03",NA
"76",1981,"LSIN1",NA
"77",1981,"LSIN9",NA
"78",1981,"N484",108
"79",1981,"VA12A",NA
"80",1981,"VA41A",NA
"81",1981,"VA42A",NA
"82",1981,"VA45A",NA
"83",1982,"0311",94.75
"84",1982,"0317",345
"85",1982,"0321",99
"86",1982,"0322",140.5
"87",1982,"0430",182
"88",1982,"0434",220
"89",1982,"0438",56
"90",1982,"0440",123
"91",1982,"0442",565
"92",1982,"0444",174
"93",1982,"0446",168.5
"94",1982,"0470",144.5
"95",1982,"0474",130.5
"96",1982,"0478",97.5
"97",1982,"0484",91
"98",1982,"0631",101
"99",1982,"A315",212.5
"100",1982,"A320",105.5
"101",1982,"A432",162.5
"102",1982,"A456",174
"103",1982,"A499",186.5
"104",1982,"A617",NA
"105",1982,"A620",NA
"106",1982,"A630",172
"107",1982,"A680",NA
"108",1982,"A685",NA
"109",1982,"A690",NA
"110",1982,"B484",93
"111",1982,"C320",109.5
"112",1982,"C370",290
"113",1982,"D320",95
"114",1982,"G320",55.5
"115",1982,"KSHZ06",NA
"116",1982,"KTHA03",NA
"117",1982,"LSIN1",NA
"118",1982,"LSIN9",NA
"119",1982,"N484",98.5
"120",1982,"VA12A",NA
"121",1982,"VA41A",NA
"122",1982,"VA42A",NA
"123",1982,"VA45A",NA
"124",1983,"0311",127
"125",1983,"0317",300
"126",1983,"0321",NA
"127",1983,"0322",125
"128",1983,"0430",185
"129",1983,"0434",198
"130",1983,"0438",NA
"131",1983,"0440",125
"132",1983,"0442",550
"133",1983,"0444",176
"134",1983,"0446",155
"135",1983,"0470",140
"136",1983,"0474",125
"137",1983,"0478",101
"138",1983,"0484",90
"139",1983,"0631",96
"140",1983,"A315",202
"141",1983,"A320",95
"142",1983,"A432",160
"143",1983,"A456",162
"144",1983,"A499",180
"145",1983,"A617",NA
"146",1983,"A620",NA
"147",1983,"A630",190
"148",1983,"A680",NA
"149",1983,"A685",NA
"150",1983,"A690",NA
"151",1983,"B484",110
"152",1983,"C320",97
"153",1983,"C370",NA
"154",1983,"D320",93
"155",1983,"G320",53
"156",1983,"KSHZ06",NA
"157",1983,"KTHA03",NA
"158",1983,"LSIN1",NA
"159",1983,"LSIN9",NA
"160",1983,"N484",103
"161",1983,"VA12A",NA
"162",1983,"VA41A",NA
"163",1983,"VA42A",NA
"164",1983,"VA45A",NA
"165",1984,"0311",82
"166",1984,"0317",237.5
"167",1984,"0321",NA
"168",1984,"0322",117.5
"169",1984,"0430",172.5
"170",1984,"0434",217.5
"171",1984,"0438",NA
"172",1984,"0440",122.5
"173",1984,"0442",382.5
"174",1984,"0444",145
"175",1984,"0446",153.5
"176",1984,"0470",130
"177",1984,"0474",128
"178",1984,"0478",90
"179",1984,"0484",77
"180",1984,"0631",90
"181",1984,"A315",225
"182",1984,"A320",94.5
"183",1984,"A432",156
"184",1984,"A456",149.5
"185",1984,"A499",175
"186",1984,"A617",NA
"187",1984,"A620",NA
"188",1984,"A630",154.5
"189",1984,"A680",NA
"190",1984,"A685",NA
"191",1984,"A690",NA
"192",1984,"B484",83.5
"193",1984,"C320",110
"194",1984,"C370",NA
"195",1984,"D320",85
"196",1984,"G320",55.5
"197",1984,"KSHZ06",NA
"198",1984,"KTHA03",NA
"199",1984,"LSIN1",NA
"200",1984,"LSIN9",NA
"201",1984,"N484",91
"202",1984,"VA12A",NA
"203",1984,"VA41A",NA
"204",1984,"VA42A",NA
"205",1984,"VA45A",NA
"206",1985,"0311",98
"207",1985,"0317",330
"208",1985,"0321",NA
"209",1985,"0322",130
"210",1985,"0430",197
"211",1985,"0434",232.5
"212",1985,"0438",NA
"213",1985,"0440",134
"214",1985,"0442",492.5
"215",1985,"0444",164.5
"216",1985,"0446",169
"217",1985,"0470",148
"218",1985,"0474",131.5
"219",1985,"0478",103
"220",1985,"0484",88
"221",1985,"0631",94.5
