"","Year","Locator","mg/L"
"1",1980,"0311",10.125
"2",1980,"0317",7.29
"3",1980,"0321",10.7
"4",1980,"0322",10.6
"5",1980,"0430",10.8
"6",1980,"0434",10.5
"7",1980,"0438",11.6
"8",1980,"0440",10.8
"9",1980,"0442",11.1
"10",1980,"0444",9.775
"11",1980,"0446",10.6
"12",1980,"0470",10.9
"13",1980,"0474",10.95
"14",1980,"0478",10.7
"15",1980,"0484",10.3
"16",1980,"0631",11.1
"17",1980,"A315",7.69
"18",1980,"A320",11
"19",1980,"A432",10.7
"20",1980,"A456",10.5
"21",1980,"A499",10.8
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",10.95
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",10.15
"29",1980,"C320",10.7
"30",1980,"C370",10.6
"31",1980,"D320",11.3
"32",1980,"G320",10.6
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",10.75
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",10.2
"41",1981,"0317",4.725
"42",1981,"0321",10.85
"43",1981,"0322",10.9
"44",1981,"0430",10.45
"45",1981,"0434",10.35
"46",1981,"0438",10.75
"47",1981,"0440",11.15
"48",1981,"0442",11.2
"49",1981,"0444",9.625
"50",1981,"0446",10.35
"51",1981,"0470",10.4
"52",1981,"0474",10.6
"53",1981,"0478",10.6
"54",1981,"0484",10.6
"55",1981,"0631",11.15
"56",1981,"A315",6.47
"57",1981,"A320",10.95
"58",1981,"A432",10.45
"59",1981,"A456",10.2
"60",1981,"A499",11.3
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",10.75
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",10.3
"68",1981,"C320",10.75
"69",1981,"C370",10.15
"70",1981,"D320",11.15
"71",1981,"G320",10.1
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",10.7
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",10.37
"80",1982,"0317",5.055
"81",1982,"0321",11
"82",1982,"0322",11
"83",1982,"0430",11.15
"84",1982,"0434",11.05
"85",1982,"0438",11.9
"86",1982,"0440",11.3
"87",1982,"0442",11.2
"88",1982,"0444",10.15
"89",1982,"0446",10.8
"90",1982,"0470",11.2
"91",1982,"0474",11.05
"92",1982,"0478",11.5
"93",1982,"0484",10.85
"94",1982,"0631",11.3
"95",1982,"A315",6.535
"96",1982,"A320",11.15
"97",1982,"A432",11.05
"98",1982,"A456",10.9
"99",1982,"A499",10.95
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",11.05
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",10.4
"107",1982,"C320",10.95
"108",1982,"C370",12
"109",1982,"D320",11.25
"110",1982,"G320",10.6
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",10.5
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",10.27875
"119",1983,"0317",6.24
"120",1983,"0321",NA
"121",1983,"0322",11.25
"122",1983,"0430",11
"123",1983,"0434",10.6
"124",1983,"0438",NA
"125",1983,"0440",10.9
"126",1983,"0442",10.6
"127",1983,"0444",9.6
"128",1983,"0446",10.7
"129",1983,"0470",10.6
"130",1983,"0474",10.6
"131",1983,"0478",10.9
"132",1983,"0484",10.7
"133",1983,"0631",11.3
"134",1983,"A315",5.915
"135",1983,"A320",11.1
"136",1983,"A432",11
"137",1983,"A456",10.1
"138",1983,"A499",10.9
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",10.8
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",10.2
"146",1983,"C320",10.7
"147",1983,"C370",NA
"148",1983,"D320",10.7
"149",1983,"G320",10.4
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",10.7
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",10.7
"158",1984,"0317",6.545
"159",1984,"0321",NA
"160",1984,"0322",11.05
"161",1984,"0430",10.55
"162",1984,"0434",10.35
"163",1984,"0438",NA
"164",1984,"0440",10.9
"165",1984,"0442",11.05
"166",1984,"0444",9.45
"167",1984,"0446",10.25
"168",1984,"0470",10.25
"169",1984,"0474",10.4
"170",1984,"0478",10.7
"171",1984,"0484",10.55
"172",1984,"0631",11.45
"173",1984,"A315",5.725
"174",1984,"A320",11
"175",1984,"A432",10.7
"176",1984,"A456",10.1
"177",1984,"A499",10.8
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",10.85
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",10.05
"185",1984,"C320",10.55
"186",1984,"C370",NA
"187",1984,"D320",11.1
"188",1984,"G320",10.5
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",10.4
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",10.6
"197",1985,"0317",5.445
"198",1985,"0321",NA
"199",1985,"0322",11.6
