"","Year","Locator","μg/L"
"1",1980,"0311",447.833625
"2",1980,"0317",1145.0295
"3",1980,"0321",714.4416
"4",1980,"0322",1712.58
"5",1980,"0430",1196.625
"6",1980,"0434",1191.9345
"7",1980,"0438",385.0571
"8",1980,"0440",971.481
"9",1980,"0442",458.1596
"10",1980,"0444",541.0091
"11",1980,"0446",1145.0295
"12",1980,"0470",817.16355
"13",1980,"0474",721.0083
"14",1980,"0478",631.6562
"15",1980,"0484",494.2235
"16",1980,"0631",830.766
"17",1980,"A315",665.77525
"18",1980,"A320",753.8418
"19",1980,"A432",1220.0775
"20",1980,"A456",622.8839
"21",1980,"A499",1609.389
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",915.195
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",382.133
"29",1980,"C320",558.06635
"30",1980,"C370",911.4426
"31",1980,"D320",838.73985
"32",1980,"G320",389.44325
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",624.8333
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",439.4355
"41",1981,"0317",922.6998
"42",1981,"0321",618.0104
"43",1981,"0322",1675.056
"44",1981,"0430",958.3476
"45",1981,"0434",1187.244
"46",1981,"0438",280.27685
"47",1981,"0440",1168.482
"48",1981,"0442",820.4469
"49",1981,"0444",535.1609
"50",1981,"0446",1327.959
"51",1981,"0470",891.7425
"52",1981,"0474",725.6988
"53",1981,"0478",734.1417
"54",1981,"0484",466.9319
"55",1981,"0631",971.481
"56",1981,"A315",602.4152
"57",1981,"A320",711.6273
"58",1981,"A432",1327.959
"59",1981,"A456",691.9272
"60",1981,"A499",1750.104
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",1590.627
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",412.3487
"68",1981,"C320",432.8174
"69",1981,"C370",990.243
"70",1981,"D320",837.3327
"71",1981,"G320",232.0292
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",624.8333
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",383.40011
"80",1982,"0317",963.50715
"81",1982,"0321",840.147
"82",1982,"0322",1989.3195
"83",1982,"0430",1431.15
"84",1982,"0434",1266.9825
"85",1982,"0438",297.3341
"86",1982,"0440",1337.34
"87",1982,"0442",866.88285
"88",1982,"0444",667.5366
"89",1982,"0446",1581.246
"90",1982,"0470",1182.5535
"91",1982,"0474",903.46875
"92",1982,"0478",983.6763
"93",1982,"0484",668.2081
"94",1982,"0631",962.1
"95",1982,"A315",498.1223
"96",1982,"A320",928.3284
"97",1982,"A432",1407.6975
"98",1982,"A456",894.5568
"99",1982,"A499",1740.723
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",1234.149
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",510.30605
"107",1982,"C320",568.78805
"108",1982,"C370",1093.434
"109",1982,"D320",979.45485
"110",1982,"G320",219.3581
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",697.08675
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",292.94795
"119",1983,"0317",764.62995
"120",1983,"0321",NA
"121",1983,"0322",1684.437
"122",1983,"0430",1206.006
"123",1983,"0434",1177.863
"124",1983,"0438",NA
"125",1983,"0440",1037.148
"126",1983,"0442",374.3354
"127",1983,"0444",680.67
"128",1983,"0446",1318.578
"129",1983,"0470",990.243
"130",1983,"0474",753.8418
"131",1983,"0478",598.5164
"132",1983,"0484",511.7681
"133",1983,"0631",834.5184
"134",1983,"A315",388.9559
"135",1983,"A320",676.9176
"136",1983,"A432",1149.72
"137",1983,"A456",813.8802
"138",1983,"A499",1712.58
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",786.6753
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",395.7788
"146",1983,"C320",400.6523
"147",1983,"C370",NA
"148",1983,"D320",768.8514
"149",1983,"G320",137.4833
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",681.6081
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",385.34951
"158",1984,"0317",634.5803
"159",1984,"0321",NA
"160",1984,"0322",1585.9365
"161",1984,"0430",1220.0775
"162",1984,"0434",1182.5535
"163",1984,"0438",NA
"164",1984,"0440",1266.9825
"165",1984,"0442",796.64695
"166",1984,"0444",671.12455
"167",1984,"0446",1248.2205
"168",1984,"0470",985.5525
"169",1984,"0474",827.48265
"170",1984,"0478",702.9766
"171",1984,"0484",540.0344
"172",1984,"0631",883.2996
"173",1984,"A315",488.86265
"174",1984,"A320",785.26815
"175",1984,"A432",1187.244
"176",1984,"A456",804.4992
"177",1984,"A499",1618.77
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",1412.388
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",417.70955
"185",1984,"C320",378.2342
"186",1984,"C370",NA
"187",1984,"D320",846.7137
"188",1984,"G320",335.3474
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",727.575
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",331.399865
"197",1985,"0317",690.9891
"198",1985,"0321",NA
"199",1985,"0322",1933.0335
"200",1985,"0430",1182.5535
"201",1985,"0434",1187.244
"202",1985,"0438",NA
"203",1985,"0440",1234.149
"204",1985,"0442",644.3273
"205",1985,"0444",662.1943
"206",1985,"0446",1327.959
"207",1985,"0470",901.59255
"208",1985,"0474",802.15395
"209",1985,"0478",725.22975
"210",1985,"0484",519.5657
"211",1985,"0631",872.0424
"212",1985,"A315",504.9452
"213",1985,"A320",897.3711
"214",1985,"A432",1276.3635
"215",1985,"A456",755.24895
"216",1985,"A499",1890.819
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",1590.627
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",399.6776
"224",1985,"C320",419.65895
"225",1985,"C370",NA
"226",1985,"D320",985.5525
"227",1985,"G320",219.3581
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",761.81565
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",360.012725
"236",1986,"0317",584.8706
"237",1986,"0321",NA
"238",1986,"0322",1797.009
"239",1986,"0430",1084.053
"240",1986,"0434",1130.958
"241",1986,"0438",NA
"242",1986,"0440",1215.387
"243",1986,"0442",566.3513
"244",1986,"0444",598.5164
"245",1986,"0446",1388.9355
"246",1986,"0470",896.90205
"247",1986,"0474",786.6753
"248",1986,"0478",610.2128
"249",1986,"0484",521.5151
"250",1986,"0631",812.004
"251",1986,"A315",394.8041
"252",1986,"A320",834.5184
"253",1986,"A432",1295.1255
"254",1986,"A456",826.0755
"255",1986,"A499",1646.913
"256",1986,"A617",NA
"257",1986,"A620",NA
"258",1986,"A630",1337.34
"259",1986,"A680",NA
"260",1986,"A685",NA
"261",1986,"A690",NA
"262",1986,"B484",438.6656
"263",1986,"C320",396.7535
"264",1986,"C370",NA
"265",1986,"D320",948.0285
"266",1986,"G320",195.9653
"267",1986,"KSHZ06",NA
"268",1986,"KTHA03",NA
"269",1986,"N484",833.5803
"270",1986,"VA12A",NA
"271",1986,"VA41A",NA
"272",1986,"VA42A",NA
"273",1986,"VA45A",NA
"274",1987,"0311",398.21555
"275",1987,"0317",641.4032
"276",1987,"0321",NA
"277",1987,"0322",1726.6515
"278",1987,"0430",1079.3625
"279",1987,"0434",1196.625
"280",1987,"0438",NA
"281",1987,"0440",1229.4585
"282",1987,"0442",478.6283
"283",1987,"0444",612.64955
"284",1987,"0446",1266.9825
"285",1987,"0470",945.68325
"286",1987,"0474",787.14435
"287",1987,"0478",695.6796
"288",1987,"0484",649.4317
"289",1987,"0631",698.259375
"290",1987,"A315",461.57105
"291",1987,"A320",874.38765
"292",1987,"A432",1323.2685
"293",1987,"A456",792.77295
"294",1987,"A499",1872.057
"295",1987,"A617",NA
"296",1987,"A620",NA
"297",1987,"A630",1248.68955
"298",1987,"A680",NA
"299",1987,"A685",NA
"300",1987,"A690",NA
"301",1987,"B484",406.01315
"302",1987,"C320",559.04105
"303",1987,"C370",NA
"304",1987,"D320",1018.386
"305",1987,"G320",236.9027
"306",1987,"KSHZ06",NA
"307",1987,"KTHA03",NA
"308",1987,"N484",870.1662
"309",1987,"VA12A",NA
"310",1987,"VA41A",NA
"311",1987,"VA42A",NA
"312",1987,"VA45A",NA
"313",1988,"0311",380.1836
"314",1988,"0317",566.3513
"315",1988,"0321",NA
"316",1988,"0322",1675.056
"317",1988,"0430",1093.434
"318",1988,"0434",1145.0295
"319",1988,"0438",NA
"320",1988,"0440",1224.768
"321",1988,"0442",440.615
"322",1988,"0444",582.9212
"323",1988,"0446",1365.483
"324",1988,"0470",956.00235
"325",1988,"0474",819.5088
"326",1988,"0478",749.62035
"327",1988,"0484",688.13845
"328",1988,"0631",734.1417
"329",1988,"A315",471.8054
"330",1988,"A320",883.2996
"331",1988,"A432",1356.102
"332",1988,"A456",647.53045
"333",1988,"A499",1759.485
"334",1988,"A617",NA
