"","Year","Locator","μg/L"
"1",1980,"0311",58.2431371258828
"2",1980,"0317",276.658391328906
"3",1980,"0321",40.452861859241
"4",1980,"0322",61.1684596782214
"5",1980,"0430",43.2828975193262
"6",1980,"0434",63.6103201988908
"7",1980,"0438",21.1897292005247
"8",1980,"0440",46.6248785107609
"9",1980,"0442",29.6769295929024
"10",1980,"0444",85.9992673712164
"11",1980,"0446",55.3094947482203
"12",1980,"0470",78.9759040119302
"13",1980,"0474",110.419277824671
"14",1980,"0478",55.3067143146813
"15",1980,"0484",84.9929697054649
"16",1980,"0631",46.6248785107609
"17",1980,"A315",286.118021822767
"18",1980,"A320",32.4577419550219
"19",1980,"A432",58.2271457402258
"20",1980,"A456",78.9759040119302
"21",1980,"A499",71.0119531059965
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",31.5278366900521
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",61.158232216661
"29",1980,"C320",14.6508335240628
"30",1980,"C370",97.1299823275397
"31",1980,"D320",26.0050383068855
"32",1980,"G320",30.1390860123304
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"LSIN1",NA
"36",1980,"LSIN9",NA
"37",1980,"N484",54.3362125734915
"38",1980,"VA12A",NA
"39",1980,"VA41A",NA
"40",1980,"VA42A",NA
"41",1980,"VA45A",NA
"42",1981,"0311",55.8393623574744
"43",1981,"0317",301.66061542003
"44",1981,"0321",38.0734816751416
"45",1981,"0322",68.5382850510705
"46",1981,"0430",52.3994629395012
"47",1981,"0434",63.6103201988908
"48",1981,"0438",15.1978851264314
"49",1981,"0440",44.7133994263321
"50",1981,"0442",29.678099972606
"51",1981,"0444",96.6401015464269
"52",1981,"0446",60.6689562695773
"53",1981,"0470",69.0318638345197
"54",1981,"0474",114.536958043337
"55",1981,"0478",57.2545689713685
"56",1981,"0484",72.5062220626449
"57",1981,"0631",37.1323480444059
"58",1981,"A315",234.316835865523
"59",1981,"A320",28.7561592295358
"60",1981,"A432",56.2786061151144
"61",1981,"A456",93.0697398617548
"62",1981,"A499",68.0429602637729
"63",1981,"A617",NA
"64",1981,"A620",NA
"65",1981,"A630",38.5562917485701
"66",1981,"A680",NA
"67",1981,"A685",NA
"68",1981,"A690",NA
"69",1981,"B484",64.1014877900605
"70",1981,"C320",12.6039168721113
"71",1981,"C370",102.737976190014
"72",1981,"D320",25.0931336136844
"73",1981,"G320",30.6058068056855
"74",1981,"KSHZ06",NA
"75",1981,"KTHA03",NA
"76",1981,"LSIN1",NA
"77",1981,"LSIN9",NA
"78",1981,"N484",68.6011920087398
"79",1981,"VA12A",NA
"80",1981,"VA41A",NA
"81",1981,"VA42A",NA
