"","Year","Locator","Z_scores"
"1",1980,"0311",0.600165228911282
"2",1980,"0317",1.53108296895279
"3",1980,"0321",1.38171821495837
"4",1980,"0322",0.211823109008319
"5",1980,"0430",-0.0768868973839331
"6",1980,"0434",-0.340901383346082
"7",1980,"0438",-0.481038288932438
"8",1980,"0440",0.0472062867960845
"9",1980,"0442",-0.0917346475137221
"10",1980,"0444",2.0176717665249
"11",1980,"0446",0.613018293295314
"12",1980,"0470",0.400712524542027
"13",1980,"0474",2.12660555546404
"14",1980,"0478",0.307517622311998
"15",1980,"0484",-0.0446376733783848
"16",1980,"0631",0.117558273981335
"17",1980,"A315",3.23044119542582
"18",1980,"A320",-0.283674592637848
"19",1980,"A432",-0.0653446331971112
"20",1980,"A456",0.148220830148268
"21",1980,"A499",0.638980765610893
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",0.663889592300952
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",0.597512112708006
"29",1980,"C320",-0.207990921983161
"30",1980,"C370",0.187215224407799
"31",1980,"D320",-0.123573421566866
"32",1980,"G320",2.01838591460831
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"LSIN1",NA
"36",1980,"LSIN9",NA
"37",1980,"N484",0.263408842940175
"38",1980,"VA12A",NA
"39",1980,"VA41A",NA
"40",1980,"VA42A",NA
"41",1980,"VA45A",NA
"42",1981,"0311",1.07346292028076
"43",1981,"0317",0.639674766460909
"44",1981,"0321",0.131647155936995
"45",1981,"0322",0.211823109008319
"46",1981,"0430",0.292956588234346
"47",1981,"0434",-0.2655866403222
"48",1981,"0438",0.650286944551837
"49",1981,"0440",0.0472062867960845
"50",1981,"0442",-0.301093111400423
"51",1981,"0444",1.22740854831955
"52",1981,"0446",0.357018145840298
"53",1981,"0470",-0.255770906544804
"54",1981,"0474",-0.285912492350308
"55",1981,"0478",-0.678081997375054
"56",1981,"0484",-0.0237932017552212
"57",1981,"0631",0.533965134282477
"58",1981,"A315",0.187636899144529
"59",1981,"A320",1.39986349472275
"60",1981,"A432",-0.0724731386367954
"61",1981,"A456",1.37113313096473
"62",1981,"A499",0.899899945761866
"63",1981,"A617",NA
"64",1981,"A620",NA
"65",1981,"A630",1.03011173924352
"66",1981,"A680",NA
"67",1981,"A685",NA
"68",1981,"A690",NA
"69",1981,"B484",0.463811099680348
"70",1981,"C320",0.308179501576829
"71",1981,"C370",0.109728170600808
"72",1981,"D320",-0.123573421566866
"73",1981,"G320",1.76181642663051
"74",1981,"KSHZ06",NA
"75",1981,"KTHA03",NA
"76",1981,"LSIN1",NA
"77",1981,"LSIN9",NA
"78",1981,"N484",2.15218117692489
"79",1981,"VA12A",NA
"80",1981,"VA41A",NA
"81",1981,"VA42A",NA
"82",1981,"VA45A",NA
"83",1982,"0311",0.162364864394511
"84",1982,"0317",1.22102794199909
"85",1982,"0321",0.889265979586315
"86",1982,"0322",0.625145175493459
"87",1982,"0430",-0.359552989963617
"88",1982,"0434",0.279190000883878
"89",1982,"0438",-0.025027194820315
"90",1982,"0440",0.459324153941905
"91",1982,"0442",0.132521984215104
"92",1982,"0444",1.2484261871016
"93",1982,"0446",0.260103804303756
"94",1982,"0470",1.27465609217637
"95",1982,"0474",0.567226208399027
"96",1982,"0478",-0.345472696438481
"97",1982,"0484",0.455629645577544
"98",1982,"0631",-0.142696013706879
"99",1982,"A315",0.0192114273112948
"100",1982,"A320",-0.167568517647462
"101",1982,"A432",0.359989524704083
"102",1982,"A456",-0.0469747870974374
"103",1982,"A499",1.10060700741646
"104",1982,"A617",NA
"105",1982,"A620",NA
"106",1982,"A630",0.183355330127759
"107",1982,"A680",NA
"108",1982,"A685",NA
"109",1982,"A690",NA
"110",1982,"B484",0.463811099680348
"111",1982,"C320",0.696694874148864
"112",1982,"C370",0.346885517100992
"113",1982,"D320",1.22929020288757
"114",1982,"G320",2.30559056532972
"115",1982,"KSHZ06",NA
"116",1982,"KTHA03",NA
"117",1982,"LSIN1",NA
"118",1982,"LSIN9",NA
"119",1982,"N484",0.702658222936619
"120",1982,"VA12A",NA
"121",1982,"VA41A",NA
"122",1982,"VA42A",NA
"123",1982,"VA45A",NA
"124",1983,"0311",0.19110079565623
"125",1983,"0317",1.83338662023265
"126",1983,"0321",NA
"127",1983,"0322",-0.31807697622904
"128",1983,"0430",-0.536549515223793
"129",1983,"0434",-0.55680364668121
"130",1983,"0438",NA
"131",1983,"0440",2.11815034280523
"132",1983,"0442",-0.0760523655746434
"133",1983,"0444",1.33501885888368
"134",1983,"0446",0.01690366422149
"135",1983,"0470",1.37723162828369
"136",1983,"0474",0.279080024702232
"137",1983,"0478",1.12436693490623
"138",1983,"0484",0.597372052615057
"139",1983,"0631",-0.597273502868959
"140",1983,"A315",1.34803886317203
"141",1983,"A320",-1.13124894006767
"142",1983,"A432",-0.274447459427865
"143",1983,"A456",1.13125417965073
"144",1983,"A499",-0.0915929388118334
"145",1983,"A617",NA
"146",1983,"A620",NA
"147",1983,"A630",-0.0981911759032313
"148",1983,"A680",NA
"149",1983,"A685",NA
"150",1983,"A690",NA
"151",1983,"B484",0.766866729209706
"152",1983,"C320",0.335930599617688
"153",1983,"C370",NA
"154",1983,"D320",-0.400665971153918
"155",1983,"G320",1.63544638031309
"156",1983,"KSHZ06",NA
"157",1983,"KTHA03",NA
"158",1983,"LSIN1",NA
"159",1983,"LSIN9",NA
"160",1983,"N484",1.7305017721283
"161",1983,"VA12A",NA
"162",1983,"VA41A",NA
"163",1983,"VA42A",NA
"164",1983,"VA45A",NA
"165",1984,"0311",1.19178734312313
"166",1984,"0317",1.92640312831876
"167",1984,"0321",NA
"168",1984,"0322",2.97436888671242
"169",1984,"0430",0.435610504115682
"170",1984,"0434",0.733588950461298
"171",1984,"0438",NA
"172",1984,"0440",2.53233915400706
"173",1984,"0442",0.68140185208286
"174",1984,"0444",1.11307259334515
"175",1984,"0446",0.47770392964052
"176",1984,"0470",1.25003796351062
"177",1984,"0474",1.52488852480308
"178",1984,"0478",0.635235609999504
"179",1984,"0484",1.24771956725776
"180",1984,"0631",0.679707535387877
"181",1984,"A315",2.28924002929892
"182",1984,"A320",0.0298118098361944
"183",1984,"A432",-0.0368306114383717
"184",1984,"A456",0.802008560200148
"185",1984,"A499",0.50651410491886
"186",1984,"A617",NA
"187",1984,"A620",NA
"188",1984,"A630",2.99246971736929
"189",1984,"A680",NA
"190",1984,"A685",NA
"191",1984,"A690",NA
"192",1984,"B484",0.762410028775451
"193",1984,"C320",3.28864743116516
"194",1984,"C370",NA
"195",1984,"D320",2.30506127775495
"196",1984,"G320",2.78426498319873
"197",1984,"KSHZ06",NA
"198",1984,"KTHA03",NA
"199",1984,"LSIN1",NA
"200",1984,"LSIN9",NA
"201",1984,"N484",1.87106157372716
"202",1984,"VA12A",NA
"203",1984,"VA41A",NA
"204",1984,"VA42A",NA
"205",1984,"VA45A",NA
"206",1985,"0311",-0.150349681688896
"207",1985,"0317",1.53108296895279
"208",1985,"0321",NA
"209",1985,"0322",1.67788001149835
"210",1985,"0430",-0.312001684669839
"211",1985,"0434",-0.639649864007479
"212",1985,"0438",NA
"213",1985,"0440",0.533878139958234
"214",1985,"0442",0.316004682902325
"215",1985,"0444",0.213517653473105
"216",1985,"0446",-0.0763535323514088
"217",1985,"0470",0.158634259328758
"218",1985,"0474",0.942946232238966
"219",1985,"0478",-0.5068860336577
"220",1985,"0484",0.247184929345907
"221",1985,"0631",-0.826297276034587
"222",1985,"A315",1.54618647709348
"223",1985,"A320",-0.382364756379676
"224",1985,"A432",-0.588101698773997
"225",1985,"A456",-0.442069530438142
"226",1985,"A499",-0.23208788197005
"227",1985,"A617",NA
"228",1985,"A620",NA
"229",1985,"A630",0.325187028654648
"230",1985,"A680",NA
"231",1985,"A685",NA
"232",1985,"A690",NA
"233",1985,"B484",0.390275542515136
"234",1985,"C320",0.241576866278765
"235",1985,"C370",NA
"236",1985,"D320",-0.131723202437073
"237",1985,"G320",0.616827219087827
"238",1985,"KSHZ06",NA
"239",1985,"KTHA03",NA
"240",1985,"LSIN1",NA
"241",1985,"LSIN9",NA
"242",1985,"N484",0.85200301213541
"243",1985,"VA12A",NA
"244",1985,"VA41A",NA
"245",1985,"VA42A",NA
"246",1985,"VA45A",NA
"247",1986,"0311",-0.261912708940274
"248",1986,"0317",0.934227042066922
"249",1986,"0321",NA
"250",1986,"0322",0.388456470754105
"251",1986,"0430",0.3457913718941
"252",1986,"0434",0.286721475186266
"253",1986,"0438",NA
"254",1986,"0440",-0.0894760209005193
"255",1986,"0442",-0.0493924862782095
"256",1986,"0444",0.21183624237054
"257",1986,"0446",1.01530423929605
"258",1986,"0470",0.294033966990417
"259",1986,"0474",1.97405757585985
"260",1986,"0478",0.468930959531218
"261",1986,"0484",0.734945565327937
"262",1986,"0631",-0.590333388530607
"263",1986,"A315",0.0179730047242856
"264",1986,"A320",-0.748098892599392
"265",1986,"A432",-0.683148437969794
"266",1986,"A456",0.689124347817089
"267",1986,"A499",-0.364554542662083
"268",1986,"A617",NA
"269",1986,"A620",NA
"270",1986,"A630",0.32095324660907
"271",1986,"A680",NA
"272",1986,"A685",NA
"273",1986,"A690",NA
"274",1986,"B484",4.78681052090796
"275",1986,"C320",0.335930599617688
"276",1986,"C370",NA
"277",1986,"D320",-0.400665971153918
"278",1986,"G320",1.38270628767825
"279",1986,"KSHZ06",NA
"280",1986,"KTHA03",NA
"281",1986,"LSIN1",NA
"282",1986,"LSIN9",NA
"283",1986,"N484",1.15069259053299
"284",1986,"VA12A",NA
"285",1986,"VA41A",NA
"286",1986,"VA42A",NA
"287",1986,"VA45A",NA
"288",1987,"0311",0.24519196038417
"289",1987,"0317",1.14738987309759
"290",1987,"0321",NA
"291",1987,"0322",-0.551233013733478
"292",1987,"0430",-0.269733857742035
"293",1987,"0434",-0.642160355441609
"294",1987,"0438",NA
"295",1987,"0440",-0.57407693000666
"296",1987,"0442",-0.232875184965431
"297",1987,"0444",0.381658763729563
"298",1987,"0446",-0.288467940242708
"299",1987,"0470",1.38543767117227
"300",1987,"0474",0.940121269653703
"301",1987,"0478",-0.181613702594728
"302",1987,"0484",0.802690098103219
"303",1987,"0631",-0.652794417575778
"304",1987,"A315",-0.456342846100189
"305",1987,"A320",0.122696669828503
"306",1987,"A432",-0.350484850784503
"307",1987,"A456",-0.282150229562142
"308",1987,"A499",-0.298321212316066
"309",1987,"A617",NA
"310",1987,"A620",NA
"311",1987,"A630",0.240511387743072
"312",1987,"A680",NA
"313",1987,"A685",NA
"314",1987,"A690",NA
"315",1987,"B484",1.65152176540938
"316",1987,"C320",0.330380380009516
"317",1987,"C370",NA
"318",1987,"D320",-0.938551508587608
"319",1987,"G320",-0.459232872281721
"320",1987,"KSHZ06",NA
"321",1987,"KTHA03",NA
"322",1987,"LSIN1",NA
"323",1987,"LSIN9",NA
"324",1987,"N484",0.263408842940175
"325",1987,"VA12A",NA
"326",1987,"VA41A",NA
"327",1987,"VA42A",NA
"328",1987,"VA45A",NA
"329",1988,"0311",-0.769017378264718
"330",1988,"0317",0.48464725298406
"331",1988,"0321",NA
"332",1988,"0322",-0.68194170142536
"333",1988,"0430",-0.956586045318839
"334",1988,"0434",-1.56100022033297
"335",1988,"0438",NA
"336",1988,"0440",-0.228229272653132
"337",1988,"0442",-0.337162359860305
"338",1988,"0444",0.184933664729507
"339",1988,"0446",-0.107439264542375
"340",1988,"0470",-0.120371198883145
"341",1988,"0474",-0.754856281503917
"342",1988,"0478",-0.670745027501453
"343",1988,"0484",0.386842889221104
"344",1988,"0631",-0.420300587240974
"345",1988,"A315",-0.476157607492334
"346",1988,"A320",-0.167568517647462
"347",1988,"A432",-0.982545666436556
"348",1988,"A456",-0.910068660942905
"349",1988,"A499",-0.430787873008099
"350",1988,"A617",NA
"351",1988,"A620",NA
"352",1988,"A630",-0.724790918648893
"353",1988,"A680",-0.482946720822707
"354",1988,"A685",NA
"355",1988,"A690",-0.641048250447833
"356",1988,"B484",0.833717235723535
"357",1988,"C320",0.88540234082671
"358",1988,"C370",NA
"359",1988,"D320",-0.433265094634748
"360",1988,"G320",-0.646873244086375
"361",1988,"KSHZ06",NA
"362",1988,"KTHA03",NA
"363",1988,"LSIN1",NA
"364",1988,"LSIN9",NA
"365",1988,"N484",0.702658222936619
"366",1988,"VA12A",NA
"367",1988,"VA41A",NA
"368",1988,"VA42A",NA
"369",1988,"VA45A",NA
"370",1989,"0311",0.338161149760319
"371",1989,"0317",1.15901693660835
"372",1989,"0321",NA
"373",1989,"0322",1.29988461736236
"374",1989,"0430",0.821304424831887
"375",1989,"0434",-0.559314138115339
"376",1989,"0438",NA
"377",1989,"0440",0.627070622478646
"378",1989,"0442",0.37873381065864
"379",1989,"0444",0.0167925544730489
"380",1989,"0446",-0.813268242525492
"381",1989,"0470",-1.1584356242892
"382",1989,"0474",-0.811355533209171
"383",1989,"0478",0.35643075480267
"384",1989,"0484",0.973614765413161
"385",1989,"0631",0.0134565589060494
"386",1989,"A315",2.10347664124756
"387",1989,"A320",0.529067932294854
"388",1989,"A432",-0.0926705707159026
"389",1989,"A456",-0.910068660942905
"390",1989,"A499",0.0770009929780264
"391",1989,"A617",NA
"392",1989,"A620",NA
"393",1989,"A630",-0.0325675541967602
"394",1989,"A680",NA
"395",1989,"A685",NA
"396",1989,"A690",NA
"397",1989,"B484",0.0181410562548212
"398",1989,"C320",2.17860350953077
"399",1989,"C370",NA
"400",1989,"D320",1.2618893263684
"401",1989,"G320",0.115176429161098
"402",1989,"KSHZ06",0.436097590227229
"403",1989,"KTHA03",-0.0367224813140027
"404",1989,"LSIN1",NA
"405",1989,"LSIN9",NA
"406",1989,"N484",1.57676448912954
"407",1989,"VA12A",NA
"408",1989,"VA41A",NA
"409",1989,"VA42A",NA
"410",1989,"VA45A",NA
"411",1990,"0311",0.211384982429208
"412",1990,"0317",1.61634810136506
"413",1990,"0321",NA
"414",1990,"0322",0.388456470754105
"415",1990,"0430",-1.06489735182133
"416",1990,"0434",-1.15430060800401
"417",1990,"0438",NA
"418",1990,"0440",-1.02968462232867
"419",1990,"0442",-0.0917346475137221
"420",1990,"0444",0.15298685378078
