"","Year","Locator","mg/L"
"1",1980,"0311",8.55
"2",1980,"0317",20.75
"3",1980,"0321",6.65
"4",1980,"0322",4.75
"5",1980,"0430",4.2
"6",1980,"0434",5.1
"7",1980,"0438",2.675
"8",1980,"0440",5
"9",1980,"0442",4.4
"10",1980,"0444",10.7
"11",1980,"0446",6.3
"12",1980,"0470",4.8
"13",1980,"0474",9.6
"14",1980,"0478",6
"15",1980,"0484",6.8
"16",1980,"0631",6.05
"17",1980,"A315",22.3
"18",1980,"A320",3.8
"19",1980,"A432",9.1
"20",1980,"A456",5.25
"21",1980,"A499",8.5
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",6.8
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",6.3
"29",1980,"C320",1.85
"30",1980,"C370",5
"31",1980,"D320",2.5
"32",1980,"G320",6.5
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"LSIN1",NA
"36",1980,"LSIN9",NA
"37",1980,"N484",4
"38",1980,"VA12A",NA
"39",1980,"VA41A",NA
"40",1980,"VA42A",NA
"41",1980,"VA45A",NA
"42",1981,"0311",9.95
"43",1981,"0317",15
"44",1981,"0321",5
"45",1981,"0322",4.75
"46",1981,"0430",4.9
"47",1981,"0434",5.25
"48",1981,"0438",4.3
"49",1981,"0440",5
"50",1981,"0442",3.065
"51",1981,"0444",8.35
"52",1981,"0446",5.6
"53",1981,"0470",4
"54",1981,"0474",5.33
"55",1981,"0478",3.985
"56",1981,"0484",6.85
"57",1981,"0631",7.25
"58",1981,"A315",10.015
"59",1981,"A320",6.7
"60",1981,"A432",9.085
"61",1981,"A456",7.85
"62",1981,"A499",9.15
"63",1981,"A617",NA
"64",1981,"A620",NA
"65",1981,"A630",7.665
"66",1981,"A680",NA
"67",1981,"A685",NA
"68",1981,"A690",NA
"69",1981,"B484",6
"70",1981,"C320",2.315
"71",1981,"C370",4.835
"72",1981,"D320",2.5
"73",1981,"G320",6.165
"74",1981,"KSHZ06",NA
"75",1981,"KTHA03",NA
"76",1981,"LSIN1",NA
"77",1981,"LSIN9",NA
"78",1981,"N484",6.15
"79",1981,"VA12A",NA
"80",1981,"VA41A",NA
"81",1981,"VA42A",NA
"82",1981,"VA45A",NA
"83",1982,"0311",7.255
"84",1982,"0317",18.75
"85",1982,"0321",6
"86",1982,"0322",5.335
"87",1982,"0430",3.665
"88",1982,"0434",6.335
"89",1982,"0438",3.33
"90",1982,"0440",5.995
"91",1982,"0442",5.83
"92",1982,"0444",8.4125
"93",1982,"0446",5.335
"94",1982,"0470",5.865
"95",1982,"0474",6.84
"96",1982,"0478",4.665
"97",1982,"0484",8
"98",1982,"0631",5.3
"99",1982,"A315",9.335
"100",1982,"A320",4
"101",1982,"A432",9.995
"102",1982,"A456",4.835
"103",1982,"A499",9.65
"104",1982,"A617",NA
"105",1982,"A620",NA
"106",1982,"A630",5.665
"107",1982,"A680",NA
"108",1982,"A685",NA
"109",1982,"A690",NA
"110",1982,"B484",6
"111",1982,"C320",2.665
"112",1982,"C370",5.34
"113",1982,"D320",3.33
"114",1982,"G320",6.875
"115",1982,"KSHZ06",NA
"116",1982,"KTHA03",NA
"117",1982,"LSIN1",NA
"118",1982,"LSIN9",NA
"119",1982,"N484",4.5
"120",1982,"VA12A",NA
"121",1982,"VA41A",NA
"122",1982,"VA42A",NA
"123",1982,"VA45A",NA
"124",1983,"0311",7.34
"125",1983,"0317",22.7
"126",1983,"0321",NA
"127",1983,"0322",4
"128",1983,"0430",3.33
"129",1983,"0434",4.67
"130",1983,"0438",NA
"131",1983,"0440",10
"132",1983,"0442",4.5
"133",1983,"0444",8.67
"134",1983,"0446",4.67
"135",1983,"0470",5.99
"136",1983,"0474",6.33
"137",1983,"0478",7.67
"138",1983,"0484",8.34
"139",1983,"0631",3.99
"140",1983,"A315",14.7
"141",1983,"A320",2.34
"142",1983,"A432",8.66
"143",1983,"A456",7.34
"144",1983,"A499",6.68
"145",1983,"A617",NA
"146",1983,"A620",NA
"147",1983,"A630",5
"148",1983,"A680",NA
"149",1983,"A685",NA
"150",1983,"A690",NA
"151",1983,"B484",6.68
"152",1983,"C320",2.34
"153",1983,"C370",NA
"154",1983,"D320",2.33
"155",1983,"G320",6
"156",1983,"KSHZ06",NA
"157",1983,"KTHA03",NA
"158",1983,"LSIN1",NA
"159",1983,"LSIN9",NA
"160",1983,"N484",5.67
"161",1983,"VA12A",NA
"162",1983,"VA41A",NA
"163",1983,"VA42A",NA
"164",1983,"VA45A",NA
"165",1984,"0311",10.3
"166",1984,"0317",23.3
"167",1984,"0321",NA
"168",1984,"0322",8.66
"169",1984,"0430",5.17
"170",1984,"0434",7.24
"171",1984,"0438",NA
"172",1984,"0440",11
"173",1984,"0442",9.33
"174",1984,"0444",8.01
"175",1984,"0446",5.93
"176",1984,"0470",5.835
"177",1984,"0474",8.535
"178",1984,"0478",6.67
"179",1984,"0484",9.9
"180",1984,"0631",7.67
"181",1984,"A315",18.5
"182",1984,"A320",4.34
"183",1984,"A432",9.16
"184",1984,"A456",6.64
"185",1984,"A499",8.17
"186",1984,"A617",NA
"187",1984,"A620",NA
"188",1984,"A630",12.3
"189",1984,"A680",NA
"190",1984,"A685",NA
"191",1984,"A690",NA
"192",1984,"B484",6.67
"193",1984,"C320",5
"194",1984,"C370",NA
"195",1984,"D320",3.99
"196",1984,"G320",7.5
"197",1984,"KSHZ06",NA
"198",1984,"KTHA03",NA
"199",1984,"LSIN1",NA
"200",1984,"LSIN9",NA
"201",1984,"N484",5.83
"202",1984,"VA12A",NA
"203",1984,"VA41A",NA
"204",1984,"VA42A",NA
"205",1984,"VA45A",NA
"206",1985,"0311",6.33
"207",1985,"0317",20.75
"208",1985,"0321",NA
"209",1985,"0322",6.825
"210",1985,"0430",3.755
"211",1985,"0434",4.505
"212",1985,"0438",NA
"213",1985,"0440",6.175
"214",1985,"0442",7
"215",1985,"0444",5.335
"216",1985,"0446",4.415
"217",1985,"0470",4.505
"218",1985,"0474",7.505
"219",1985,"0478",4.335
"220",1985,"0484",7.5
"221",1985,"0631",3.33
"222",1985,"A315",15.5
"223",1985,"A320",3.63
"224",1985,"A432",8
"225",1985,"A456",3.995
"226",1985,"A499",6.33
"227",1985,"A617",NA
"228",1985,"A620",NA
"229",1985,"A630",6
"230",1985,"A680",NA
"231",1985,"A685",NA
"232",1985,"A690",NA
"233",1985,"B484",5.835
"234",1985,"C320",2.255
"235",1985,"C370",NA
"236",1985,"D320",2.495
"237",1985,"G320",4.67
"238",1985,"KSHZ06",NA
"239",1985,"KTHA03",NA
"240",1985,"LSIN1",NA
"241",1985,"LSIN9",NA
"242",1985,"N484",4.67
"243",1985,"VA12A",NA
"244",1985,"VA41A",NA
"245",1985,"VA42A",NA
"246",1985,"VA45A",NA
"247",1986,"0311",6
"248",1986,"0317",16.9
"249",1986,"0321",NA
"250",1986,"0322",5
"251",1986,"0430",5
"252",1986,"0434",6.35
"253",1986,"0438",NA
"254",1986,"0440",4.67
"255",1986,"0442",4.67
"256",1986,"0444",5.33
"257",1986,"0446",7.4
"258",1986,"0470",4.67
"259",1986,"0474",9.33
"260",1986,"0478",6.33
"261",1986,"0484",8.67
"262",1986,"0631",4.01
"263",1986,"A315",9.33
"264",1986,"A320",3
"265",1986,"A432",7.8
"266",1986,"A456",6.4
"267",1986,"A499",6
"268",1986,"A617",NA
"269",1986,"A620",NA
"270",1986,"A630",5.99
"271",1986,"A680",NA
"272",1986,"A685",NA
"273",1986,"A690",NA
"274",1986,"B484",15.7
"275",1986,"C320",2.34
"276",1986,"C370",NA
"277",1986,"D320",2.33
"278",1986,"G320",5.67
"279",1986,"KSHZ06",NA
"280",1986,"KTHA03",NA
"281",1986,"LSIN1",NA
"282",1986,"LSIN9",NA
"283",1986,"N484",5.01
"284",1986,"VA12A",NA
"285",1986,"VA41A",NA
"286",1986,"VA42A",NA
"287",1986,"VA45A",NA
"288",1987,"0311",7.5
"289",1987,"0317",18.275
"290",1987,"0321",NA
"291",1987,"0322",3.67
"292",1987,"0430",3.835
"293",1987,"0434",4.5
"294",1987,"0438",NA
"295",1987,"0440",3.5
"296",1987,"0442",3.5
"297",1987,"0444",5.835
"298",1987,"0446",3.835
"299",1987,"0470",6
"300",1987,"0474",7.5
"301",1987,"0478",5
"302",1987,"0484",8.8325
"303",1987,"0631",3.83
"304",1987,"A315",7.415
"305",1987,"A320",4.5
"306",1987,"A432",8.5
"307",1987,"A456",4.335
"308",1987,"A499",6.165
"309",1987,"A617",NA
"310",1987,"A620",NA
"311",1987,"A630",5.8
"312",1987,"A680",NA
"313",1987,"A685",NA
"314",1987,"A690",NA
"315",1987,"B484",8.665
"316",1987,"C320",2.335
"317",1987,"C370",NA
"318",1987,"D320",2
"319",1987,"G320",3.265
"320",1987,"KSHZ06",NA
"321",1987,"KTHA03",NA
"322",1987,"LSIN1",NA
"323",1987,"LSIN9",NA
"324",1987,"N484",4
"325",1987,"VA12A",NA
"326",1987,"VA41A",NA
"327",1987,"VA42A",NA
"328",1987,"VA45A",NA
"329",1988,"0311",4.5
"330",1988,"0317",14
"331",1988,"0321",NA
"332",1988,"0322",3.485
"333",1988,"0430",2.535
"334",1988,"0434",2.67
"335",1988,"0438",NA
"336",1988,"0440",4.335
"337",1988,"0442",2.835
"338",1988,"0444",5.25
"339",1988,"0446",4.33
"340",1988,"0470",4.165
"341",1988,"0474",4.5
"342",1988,"0478",4
"343",1988,"0484",7.835
"344",1988,"0631",4.5
"345",1988,"A315",7.335
"346",1988,"A320",4
"347",1988,"A432",7.17
"348",1988,"A456",3
"349",1988,"A499",5.835
"350",1988,"A617",NA
"351",1988,"A620",NA
"352",1988,"A630",3.52
"353",1988,"A680",2.67
"354",1988,"A685",NA
"355",1988,"A690",2.33
"356",1988,"B484",6.83
"357",1988,"C320",2.835
