"","Year","Locator","deg. C"
"1",1980,"0311",10
"2",1980,"0317",12.45
"3",1980,"0321",9.85
"4",1980,"0322",9.55
"5",1980,"0430",10.15
"6",1980,"0434",10.4
"7",1980,"0438",7.35
"8",1980,"0440",11.45
"9",1980,"0442",11.2
"10",1980,"0444",10.5
"11",1980,"0446",10.5
"12",1980,"0470",11.45
"13",1980,"0474",11.2
"14",1980,"0478",10.25
"15",1980,"0484",11
"16",1980,"0631",9.5
"17",1980,"A315",11.65
"18",1980,"A320",10.15
"19",1980,"A432",11
"20",1980,"A456",11.4
"21",1980,"A499",10.95
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",8.8
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",10.5
"29",1980,"C320",10.1
"30",1980,"C370",11.1
"31",1980,"D320",10.2
"32",1980,"G320",9.75
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",11.55
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",9.725
"41",1981,"0317",12.3
"42",1981,"0321",10.5
"43",1981,"0322",10.5
"44",1981,"0430",10.8
"45",1981,"0434",11.45
"46",1981,"0438",10.5
"47",1981,"0440",10
"48",1981,"0442",10.65
"49",1981,"0444",10.3
"50",1981,"0446",12.05
"51",1981,"0470",10.1
"52",1981,"0474",10.45
"53",1981,"0478",9.85
"54",1981,"0484",9.9
"55",1981,"0631",9.6
"56",1981,"A315",12.7
"57",1981,"A320",10.9
"58",1981,"A432",11.25
"59",1981,"A456",11.3
"60",1981,"A499",10.05
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",9.5
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",9.65
"68",1981,"C320",12.3
"69",1981,"C370",11.35
"70",1981,"D320",11.55
"71",1981,"G320",14
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",10.3
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",9.525
"80",1982,"0317",10.4
"81",1982,"0321",8
"82",1982,"0322",9.7
"83",1982,"0430",8.9
"84",1982,"0434",8.85
"85",1982,"0438",7.2
"86",1982,"0440",9.15
"87",1982,"0442",10.35
"88",1982,"0444",9.15
"89",1982,"0446",9.3
"90",1982,"0470",8.35
"91",1982,"0474",8.3
"92",1982,"0478",8.05
"93",1982,"0484",9.35
"94",1982,"0631",8.05
"95",1982,"A315",10.3
"96",1982,"A320",9.4
"97",1982,"A432",9.15
"98",1982,"A456",9.15
"99",1982,"A499",9.15
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",8.3
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",9.4
"107",1982,"C320",10.4
"108",1982,"C370",9.3
"109",1982,"D320",10.2
"110",1982,"G320",11
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",9.8
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",10.9625
"119",1983,"0317",11.2
"120",1983,"0321",NA
"121",1983,"0322",10.6
"122",1983,"0430",10.9
"123",1983,"0434",10.6
"124",1983,"0438",NA
"125",1983,"0440",10.8
"126",1983,"0442",10.3
"127",1983,"0444",10.45
"128",1983,"0446",11.2
"129",1983,"0470",11.1
"130",1983,"0474",11
"131",1983,"0478",10.8
"132",1983,"0484",10.5
"133",1983,"0631",10.65
"134",1983,"A315",11.6
"135",1983,"A320",10.7
"136",1983,"A432",10.6
"137",1983,"A456",11.1
"138",1983,"A499",11.1
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",10.5
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",9.4
"146",1983,"C320",12
"147",1983,"C370",NA
"148",1983,"D320",10.5
"149",1983,"G320",10.7
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",11.35
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",10.01
"158",1984,"0317",10.6
"159",1984,"0321",NA
"160",1984,"0322",9.3
"161",1984,"0430",10.1
"162",1984,"0434",10.45
"163",1984,"0438",NA
"164",1984,"0440",9.65
"165",1984,"0442",9.6
"166",1984,"0444",10.3
"167",1984,"0446",10.5
"168",1984,"0470",9.6
"169",1984,"0474",9.6
"170",1984,"0478",9.2
"171",1984,"0484",9.5
"172",1984,"0631",9.4
"173",1984,"A315",10.55
"174",1984,"A320",9.6
"175",1984,"A432",10.6
"176",1984,"A456",10.1
"177",1984,"A499",10.45
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",9.85
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",9.3
"185",1984,"C320",9.45
"186",1984,"C370",NA
"187",1984,"D320",9.45
"188",1984,"G320",10.1
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",9.35
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",9.3
"197",1985,"0317",9.6
"198",1985,"0321",NA
"199",1985,"0322",7.9
"200",1985,"0430",9.2
"201",1985,"0434",9
"202",1985,"0438",NA
"203",1985,"0440",8.25
"204",1985,"0442",8.35
"205",1985,"0444",8.65
"206",1985,"0446",10.15
"207",1985,"0470",8.95
"208",1985,"0474",9.3
"209",1985,"0478",7.55
"210",1985,"0484",10.4
"211",1985,"0631",8.4
"212",1985,"A315",8.8
"213",1985,"A320",8.35
"214",1985,"A432",9.2
"215",1985,"A456",9.85
"216",1985,"A499",10
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",8.35
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",8.9
"224",1985,"C320",8.4
"225",1985,"C370",NA
"226",1985,"D320",8.7
"227",1985,"G320",9.3
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",9.1
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",10.12
"236",1986,"0317",11.5
"237",1986,"0321",NA
"238",1986,"0322",9.1
"239",1986,"0430",10.2
"240",1986,"0434",9.9
"241",1986,"0438",NA
"242",1986,"0440",8.9
"243",1986,"0442",9
"244",1986,"0444",9.5
"245",1986,"0446",10.9
"246",1986,"0470",9.8
"247",1986,"0474",9.6
"248",1986,"0478",9
"249",1986,"0484",9.8
"250",1986,"0631",9.3
"251",1986,"A315",10.7
"252",1986,"A320",9.7
"253",1986,"A432",10.5
"254",1986,"A456",10.4
"255",1986,"A499",10.1
"256",1986,"A617",NA
"257",1986,"A620",NA
"258",1986,"A630",8.9
"259",1986,"A680",NA
"260",1986,"A685",NA
"261",1986,"A690",NA
"262",1986,"B484",9.8
"263",1986,"C320",10.4
"264",1986,"C370",NA
"265",1986,"D320",10.3
"266",1986,"G320",11.1
"267",1986,"KSHZ06",NA
"268",1986,"KTHA03",NA
"269",1986,"N484",9.5
"270",1986,"VA12A",NA
"271",1986,"VA41A",NA
"272",1986,"VA42A",NA
"273",1986,"VA45A",NA
"274",1987,"0311",11
"275",1987,"0317",11.475
"276",1987,"0321",NA
"277",1987,"0322",9.5
"278",1987,"0430",10
"279",1987,"0434",10.4
"280",1987,"0438",NA
"281",1987,"0440",9.5
"282",1987,"0442",10
"283",1987,"0444",10.5
"284",1987,"0446",10.825
"285",1987,"0470",10.05
"286",1987,"0474",9.75
"287",1987,"0478",8.2
"288",1987,"0484",10.625
"289",1987,"0631",9.6
"290",1987,"A315",11
"291",1987,"A320",9.9
"292",1987,"A432",10.75
"293",1987,"A456",10.4
"294",1987,"A499",10.4
"295",1987,"A617",NA
"296",1987,"A620",NA
