"","Year","Locator","NTU"
"1",1980,"0311",4.25
"2",1980,"0317",27.1666666666667
"3",1980,"0321",1.75
"4",1980,"0322",2.45
"5",1980,"0430",2.55
"6",1980,"0434",3.35
"7",1980,"0438",1.55
"8",1980,"0440",2.9
"9",1980,"0442",2
"10",1980,"0444",5.2
"11",1980,"0446",2.45
"12",1980,"0470",2.4
"13",1980,"0474",3.7
"14",1980,"0478",2.6
"15",1980,"0484",2.5
"16",1980,"0631",1.8
"17",1980,"A315",16.5
"18",1980,"A320",1.65
"19",1980,"A432",3.4
"20",1980,"A456",3.15
"21",1980,"A499",2.3
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",4.7
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",2.5
"29",1980,"C320",1.25
"30",1980,"C370",3.3
"31",1980,"D320",1.3
"32",1980,"G320",2.25
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",2
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",5.375
"41",1981,"0317",21.5
"42",1981,"0321",1.9
"43",1981,"0322",2.55
"44",1981,"0430",2.6
"45",1981,"0434",2.65
"46",1981,"0438",1.3
"47",1981,"0440",3.35
"48",1981,"0442",2.3
"49",1981,"0444",5.7
"50",1981,"0446",2.7
"51",1981,"0470",3.55
"52",1981,"0474",3.1
"53",1981,"0478",3
"54",1981,"0484",3.2
"55",1981,"0631",3.25
"56",1981,"A315",12
"57",1981,"A320",1.7
"58",1981,"A432",3.5
"59",1981,"A456",3.55
"60",1981,"A499",3.4
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",6.7
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",3.3
"68",1981,"C320",1.15
"69",1981,"C370",5.85
"70",1981,"D320",1.35
"71",1981,"G320",2.5
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",2.15
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",3.25
"80",1982,"0317",22
"81",1982,"0321",2
"82",1982,"0322",1.95
"83",1982,"0430",2.9
"84",1982,"0434",3
"85",1982,"0438",1.8
"86",1982,"0440",3.45
"87",1982,"0442",2.9
"88",1982,"0444",4.4
"89",1982,"0446",2.65
"90",1982,"0470",4.4
"91",1982,"0474",2.8
"92",1982,"0478",2.15
"93",1982,"0484",3.5
"94",1982,"0631",1.8
"95",1982,"A315",10.75
"96",1982,"A320",1.55
"97",1982,"A432",3.75
"98",1982,"A456",3.25
"99",1982,"A499",2.95
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",7.25
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",3.1
"107",1982,"C320",1.3
"108",1982,"C370",5.2
"109",1982,"D320",1.6
"110",1982,"G320",2.35
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",1.75
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",2.5
"119",1983,"0317",25
"120",1983,"0321",NA
"121",1983,"0322",1.55
"122",1983,"0430",2.1
"123",1983,"0434",2.2
"124",1983,"0438",NA
"125",1983,"0440",3.1
"126",1983,"0442",1.5
"127",1983,"0444",4
"128",1983,"0446",2.3
"129",1983,"0470",3
"130",1983,"0474",3
"131",1983,"0478",2
"132",1983,"0484",3.3
"133",1983,"0631",1
"134",1983,"A315",12
"135",1983,"A320",1
"136",1983,"A432",2
"137",1983,"A456",4.3
"138",1983,"A499",1.6
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",3.8
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",3
"146",1983,"C320",0.7
"147",1983,"C370",NA
"148",1983,"D320",0.8
"149",1983,"G320",2
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",1.5
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",4.3
"158",1984,"0317",24
"159",1984,"0321",NA
"160",1984,"0322",3.8
"161",1984,"0430",2.8
"162",1984,"0434",3.3
"163",1984,"0438",NA
"164",1984,"0440",4.8
"165",1984,"0442",3.95
"166",1984,"0444",4.8
"167",1984,"0446",3.5
"168",1984,"0470",4
"169",1984,"0474",3.85
"170",1984,"0478",2.3
"171",1984,"0484",4.1
"172",1984,"0631",2.9
"173",1984,"A315",15.5
"174",1984,"A320",2.1
"175",1984,"A432",3.35
"176",1984,"A456",5
"177",1984,"A499",2.25
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",8.2
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",3.95
"185",1984,"C320",1
"186",1984,"C370",NA
"187",1984,"D320",1.95
"188",1984,"G320",2.7
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",1.8
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",2.3
"197",1985,"0317",28
"198",1985,"0321",NA
"199",1985,"0322",2.2
"200",1985,"0430",1.95
"201",1985,"0434",1.85
"202",1985,"0438",NA
"203",1985,"0440",2.8
"204",1985,"0442",2.5
"205",1985,"0444",3.5
"206",1985,"0446",2.35
"207",1985,"0470",2.55
"208",1985,"0474",3.2
"209",1985,"0478",1.85
"210",1985,"0484",2.8
"211",1985,"0631",1.65
"212",1985,"A315",10.15
"213",1985,"A320",1.05
"214",1985,"A432",2.75
"215",1985,"A456",2.6
"216",1985,"A499",1.75
"217",1985,"A617",NA
