"","Year","Locator","CFU/100mL"
"1",1980,"0311",216.666666666667
"2",1980,"0317",595
"3",1980,"0321",46
"4",1980,"0322",335
"5",1980,"0430",425
"6",1980,"0434",735
"7",1980,"0438",67.5
"8",1980,"0440",94
"9",1980,"0442",57
"10",1980,"0444",370
"11",1980,"0446",230
"12",1980,"0470",240
"13",1980,"0474",600
"14",1980,"0478",340
"15",1980,"0484",1400
"16",1980,"0631",140
"17",1980,"A315",1000
"18",1980,"A320",43
"19",1980,"A432",225
"20",1980,"A456",430
"21",1980,"A499",57
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",140
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",190
"29",1980,"C320",32.5
"30",1980,"C370",230
"31",1980,"D320",24
"32",1980,"G320",300
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",200
"36",1980,"VA42A",NA
"37",1981,"0311",93.3333333333333
"38",1981,"0317",380
"39",1981,"0321",27
"40",1981,"0322",195
"41",1981,"0430",895
"42",1981,"0434",1200
"43",1981,"0438",36
"44",1981,"0440",165
"45",1981,"0442",77
"46",1981,"0444",275
"47",1981,"0446",395
"48",1981,"0470",260
"49",1981,"0474",670
"50",1981,"0478",435
"51",1981,"0484",570
"52",1981,"0631",130
"53",1981,"A315",765
"54",1981,"A320",86
"55",1981,"A432",295
"56",1981,"A456",565
"57",1981,"A499",64
"58",1981,"A617",NA
"59",1981,"A620",NA
"60",1981,"A630",165
"61",1981,"A680",NA
"62",1981,"A685",NA
"63",1981,"A690",NA
"64",1981,"B484",215
"65",1981,"C320",34
"66",1981,"C370",405
"67",1981,"D320",120
"68",1981,"G320",780
"69",1981,"KSHZ06",NA
"70",1981,"KTHA03",NA
"71",1981,"N484",325
"72",1981,"VA42A",NA
"73",1982,"0311",83.75
"74",1982,"0317",455
"75",1982,"0321",25
"76",1982,"0322",170
"77",1982,"0430",330
"78",1982,"0434",430
"79",1982,"0438",26
"80",1982,"0440",110
"81",1982,"0442",51.5
"82",1982,"0444",187.5
"83",1982,"0446",420
"84",1982,"0470",270
"85",1982,"0474",360
"86",1982,"0478",205
"87",1982,"0484",425
"88",1982,"0631",103.5
"89",1982,"A315",530
"90",1982,"A320",50.5
"91",1982,"A432",230
"92",1982,"A456",350
"93",1982,"A499",24
"94",1982,"A617",NA
"95",1982,"A620",NA
"96",1982,"A630",275
"97",1982,"A680",NA
"98",1982,"A685",NA
"99",1982,"A690",NA
"100",1982,"B484",135
"101",1982,"C320",29.5
"102",1982,"C370",540
"103",1982,"D320",37
"104",1982,"G320",340
"105",1982,"KSHZ06",NA
"106",1982,"KTHA03",NA
"107",1982,"N484",155
"108",1982,"VA42A",NA
"109",1983,"0311",155
"110",1983,"0317",1200
"111",1983,"0321",NA
"112",1983,"0322",310
"113",1983,"0430",380
"114",1983,"0434",620
"115",1983,"0438",NA
"116",1983,"0440",120
"117",1983,"0442",51
"118",1983,"0444",270
"119",1983,"0446",400
"120",1983,"0470",440
"121",1983,"0474",460
"122",1983,"0478",140
"123",1983,"0484",580
"124",1983,"0631",130
"125",1983,"A315",1000
"126",1983,"A320",55
