"","Year","Locator","pH"
"1",1980,"0311",7.275
"2",1980,"0317",7.05
"3",1980,"0321",7.35
"4",1980,"0322",7.71666666666667
"5",1980,"0430",7.8
"6",1980,"0434",7.7
"7",1980,"0438",7.5
"8",1980,"0440",7.8
"9",1980,"0442",8.3
"10",1980,"0444",7.3
"11",1980,"0446",7.55
"12",1980,"0470",7.5
"13",1980,"0474",7.5
"14",1980,"0478",7.6
"15",1980,"0484",7.3
"16",1980,"0631",7.2
"17",1980,"A315",7.33333333333333
"18",1980,"A320",7.6
"19",1980,"A432",7.8
"20",1980,"A456",7.55
"21",1980,"A499",7.85
"22",1980,"A617",NA
"23",1980,"A620",NA
"24",1980,"A630",7.1
"25",1980,"A680",NA
"26",1980,"A685",NA
"27",1980,"A690",NA
"28",1980,"B484",7.4
"29",1980,"C320",7.5
"30",1980,"C370",7.9
"31",1980,"D320",7.45
"32",1980,"G320",7.3
"33",1980,"KSHZ06",NA
"34",1980,"KTHA03",NA
"35",1980,"N484",7.35
"36",1980,"VA12A",NA
"37",1980,"VA41A",NA
"38",1980,"VA42A",NA
"39",1980,"VA45A",NA
"40",1981,"0311",7.2
"41",1981,"0317",6.9
"42",1981,"0321",7.45
"43",1981,"0322",7.6
"44",1981,"0430",7.5
"45",1981,"0434",7.5
"46",1981,"0438",7.2
"47",1981,"0440",7.6
"48",1981,"0442",8.1
"49",1981,"0444",7.3
"50",1981,"0446",7.3
"51",1981,"0470",7.45
"52",1981,"0474",7.35
"53",1981,"0478",7.3
"54",1981,"0484",7.35
"55",1981,"0631",7.25
"56",1981,"A315",7.05
"57",1981,"A320",7.45
"58",1981,"A432",7.6
"59",1981,"A456",7.45
"60",1981,"A499",7.8
"61",1981,"A617",NA
"62",1981,"A620",NA
"63",1981,"A630",7.2
"64",1981,"A680",NA
"65",1981,"A685",NA
"66",1981,"A690",NA
"67",1981,"B484",7.25
"68",1981,"C320",7.3
"69",1981,"C370",7.75
"70",1981,"D320",7.25
"71",1981,"G320",7.15
"72",1981,"KSHZ06",NA
"73",1981,"KTHA03",NA
"74",1981,"N484",7.25
"75",1981,"VA12A",NA
"76",1981,"VA41A",NA
"77",1981,"VA42A",NA
"78",1981,"VA45A",NA
"79",1982,"0311",7.15
"80",1982,"0317",6.9
"81",1982,"0321",7.3
"82",1982,"0322",7.85
"83",1982,"0430",7.55
"84",1982,"0434",7.7
"85",1982,"0438",7
"86",1982,"0440",7.65
"87",1982,"0442",8.25
"88",1982,"0444",7.5
"89",1982,"0446",7.4
"90",1982,"0470",7.55
"91",1982,"0474",7.35
"92",1982,"0478",7.45
"93",1982,"0484",7.45
"94",1982,"0631",7.5
"95",1982,"A315",7.15
"96",1982,"A320",7.65
"97",1982,"A432",7.7
"98",1982,"A456",7.5
"99",1982,"A499",7.9
"100",1982,"A617",NA
"101",1982,"A620",NA
"102",1982,"A630",7.4
"103",1982,"A680",NA
"104",1982,"A685",NA
"105",1982,"A690",NA
"106",1982,"B484",7.35
"107",1982,"C320",7.4
"108",1982,"C370",7.8
"109",1982,"D320",7.5
"110",1982,"G320",7.45
"111",1982,"KSHZ06",NA
"112",1982,"KTHA03",NA
"113",1982,"N484",7.15
"114",1982,"VA12A",NA
"115",1982,"VA41A",NA
"116",1982,"VA42A",NA
"117",1982,"VA45A",NA
"118",1983,"0311",7.2625
"119",1983,"0317",6.9
"120",1983,"0321",NA
"121",1983,"0322",7.8
"122",1983,"0430",7.7
"123",1983,"0434",7.7
"124",1983,"0438",NA
"125",1983,"0440",7.8
"126",1983,"0442",8.3
"127",1983,"0444",7.5
"128",1983,"0446",7.5
"129",1983,"0470",7.7
"130",1983,"0474",7.6
"131",1983,"0478",7.5
"132",1983,"0484",7.5
"133",1983,"0631",7.5
"134",1983,"A315",7.2
"135",1983,"A320",7.6
"136",1983,"A432",7.8
"137",1983,"A456",7.6
"138",1983,"A499",8
"139",1983,"A617",NA
"140",1983,"A620",NA
"141",1983,"A630",7.4
"142",1983,"A680",NA
"143",1983,"A685",NA
"144",1983,"A690",NA
"145",1983,"B484",7.4
"146",1983,"C320",7.5
"147",1983,"C370",NA
"148",1983,"D320",7.4
"149",1983,"G320",7.6
"150",1983,"KSHZ06",NA
"151",1983,"KTHA03",NA
"152",1983,"N484",7.5
"153",1983,"VA12A",NA
"154",1983,"VA41A",NA
"155",1983,"VA42A",NA
"156",1983,"VA45A",NA
"157",1984,"0311",7.12
"158",1984,"0317",6.8
"159",1984,"0321",NA
"160",1984,"0322",7.7
"161",1984,"0430",7.65
"162",1984,"0434",7.65
"163",1984,"0438",NA
"164",1984,"0440",7.65
"165",1984,"0442",8.1
"166",1984,"0444",7.5
"167",1984,"0446",7.35
"168",1984,"0470",7.5
"169",1984,"0474",7.35
"170",1984,"0478",7.45
"171",1984,"0484",7.25
"172",1984,"0631",7.4
"173",1984,"A315",7
"174",1984,"A320",7.6
"175",1984,"A432",7.75
"176",1984,"A456",7.45
"177",1984,"A499",7.85
"178",1984,"A617",NA
"179",1984,"A620",NA
"180",1984,"A630",7.3
"181",1984,"A680",NA
"182",1984,"A685",NA
"183",1984,"A690",NA
"184",1984,"B484",7.2
"185",1984,"C320",7.6
"186",1984,"C370",NA
"187",1984,"D320",7.4
"188",1984,"G320",7.5
"189",1984,"KSHZ06",NA
"190",1984,"KTHA03",NA
"191",1984,"N484",7.35
"192",1984,"VA12A",NA
"193",1984,"VA41A",NA
"194",1984,"VA42A",NA
"195",1984,"VA45A",NA
"196",1985,"0311",7.05
"197",1985,"0317",6.8
"198",1985,"0321",NA
"199",1985,"0322",7.65
"200",1985,"0430",7.6
"201",1985,"0434",7.55
"202",1985,"0438",NA
"203",1985,"0440",7.65
"204",1985,"0442",8
"205",1985,"0444",7.35
"206",1985,"0446",7.35
"207",1985,"0470",7.6
"208",1985,"0474",7.4
"209",1985,"0478",7.35
"210",1985,"0484",7.3
"211",1985,"0631",7.45
"212",1985,"A315",7.05
"213",1985,"A320",7.5
"214",1985,"A432",7.7
"215",1985,"A456",7.5
"216",1985,"A499",7.8
"217",1985,"A617",NA
"218",1985,"A620",NA
"219",1985,"A630",7.3
"220",1985,"A680",NA
"221",1985,"A685",NA
"222",1985,"A690",NA
"223",1985,"B484",7.3
"224",1985,"C320",7.45
"225",1985,"C370",NA
"226",1985,"D320",7.45
"227",1985,"G320",7.4
"228",1985,"KSHZ06",NA
"229",1985,"KTHA03",NA
"230",1985,"N484",7.3
"231",1985,"VA12A",NA
"232",1985,"VA41A",NA
"233",1985,"VA42A",NA
"234",1985,"VA45A",NA
"235",1986,"0311",7.15
"236",1986,"0317",6.8
"237",1986,"0321",NA
"238",1986,"0322",7.7
"239",1986,"0430",7.6
"240",1986,"0434",7.5
"241",1986,"0438",NA
"242",1986,"0440",7.6
"243",1986,"0442",8.15
"244",1986,"0444",7.25
"245",1986,"0446",7.35
"246",1986,"0470",7.45
"247",1986,"0474",7.35
"248",1986,"0478",7.4
"249",1986,"0484",7.25
"250",1986,"0631",7.3
