CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Nitrite + Nitrate Nitrogen,0.678,mg/L,,0.01,0.04,,0.678,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Ammonia Nitrogen,0.0151,mg/L,,0.002,0.01,,0.0151,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Total Nitrogen,0.319,mg/L,,0.05,0.1,,0.319,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Nitrite + Nitrate Nitrogen,0.336,mg/L,,0.01,0.04,,0.336,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Total Suspended Solids,15.1,mg/L,,0.5,1,,15.1,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Total Suspended Solids,3.6,mg/L,,0.5,1,,3.6,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Nitrite + Nitrate Nitrogen,0.232,mg/L,,0.01,0.04,,0.232,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,"Dissolved Oxygen, Field",11.4,mg/L,,0.5,1,,11.4,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,"pH, Field",7.41,pH,,NA,NA,,7.41,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Orthophosphate Phosphorus,0.008479999999999998,mg/L,,5e-4,0.002,,0.008479999999999998,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Temperature,8.599999999999998,deg C,,NA,NA,,8.599999999999998,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Fecal Coliform,17,CFU/100ml,,NA,NA,,17,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,"Dissolved Oxygen, Field",11.3,mg/L,,0.5,1,,11.3,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Total Suspended Solids,15.7,mg/L,,0.5,1,,15.7,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Total Alkalinity,19.9,mg CaCO3/L,,1,5,,19.9,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Orthophosphate Phosphorus,0.00699,mg/L,,5e-4,0.002,,0.00699,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Fecal Coliform,21,CFU/100ml,,NA,NA,,21,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Temperature,8.199999999999998,deg C,,NA,NA,,8.199999999999998,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Turbidity,2.14,NTU,,0.2,0.5,,2.14,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Orthophosphate Phosphorus,0.00387,mg/L,,5e-4,0.002,,0.00387,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Ammonia Nitrogen,0.0132,mg/L,,0.002,0.01,,0.0132,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Silica,15.9,mg/L,,0.2,0.5,,15.9,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Turbidity,4.04,NTU,,0.2,0.5,,4.04,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Silica,10.4,mg/L,,0.2,0.5,,10.4,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Total Alkalinity,18.8,mg CaCO3/L,,1,5,,18.8,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Total Alkalinity,34.8,mg CaCO3/L,,1,5,,34.8,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Total Nitrogen,0.332,mg/L,,0.05,0.1,,0.332,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,"Conductivity, Field",94.3,umhos/cm,,0.5,10,,94.3,FALSE
2017-04-12T16:01:00Z,2017,4,L67494-4,0438,NA,Temperature,8,deg C,,NA,NA,,8,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,"Dissolved Oxygen, Field",11.7,mg/L,,0.5,1,,11.7,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Total Phosphorus,0.0222,mg/L,,0.005,0.01,,0.0222,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Total Nitrogen,0.861,mg/L,,0.05,0.1,,0.861,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Suspended Solids,4.2,mg/L,,0.5,1,,4.2,FALSE
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Nitrogen,0.44,mg/L,,0.05,0.1,,0.44,FALSE
2017-04-11T19:40:00Z,2017,4,L67489-9,0631,NA,Fecal Coliform,5,CFU/100ml,,NA,NA,,5,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Ammonia Nitrogen,0.006,mg/L,<RDL,0.002,0.01,,0.006,FALSE
2017-04-12T16:02:00Z,2017,4,L67494-14,0438,NA,Turbidity,3.9,NTU,,0.2,0.5,,3.9,FALSE
