CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Total Alkalinity,24.6,mg CaCO3/L,,1,5,,24.6,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,"pH, Field",7.63,pH,,NA,NA,,7.63,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Orthophosphate Phosphorus,0.00834,mg/L,,5e-4,0.002,,0.00834,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,"Dissolved Oxygen, Field",11.3,mg/L,,0.5,1,,11.3,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Fecal Coliform,7,CFU/100ml,,NA,NA,,7,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Total Phosphorus,0.0218,mg/L,,0.005,0.01,,0.0218,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Turbidity,2.07,NTU,,0.2,0.5,,2.07,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Temperature,8.8,deg C,,NA,NA,,8.8,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,"Conductivity, Field",68.4,umhos/cm,,0.5,10,,68.4,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Total Suspended Solids,2.4,mg/L,,1,2,,2.4,FALSE
2017-04-12T19:32:00Z,2017,4,L67512-1,BSE_1MUDMTNRD,NA,Ammonia Nitrogen,0.0077,mg/L,<RDL,0.002,0.01,,0.0077,FALSE
