CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-10T18:55:00Z,2017,4,L67485-5,AMES_1,NA,Ammonia Nitrogen,0.0616,mg/L,,0.002,0.01,,0.0616,FALSE
2017-04-10T17:39:00Z,2017,4,L67485-2,SNQDUVALL,NA,Total Nitrogen,0.329,mg/L,,0.05,0.1,,0.329,FALSE
2017-04-10T21:05:00Z,2017,4,L67485-9,RAGING_MTH,NA,Turbidity,2.75,NTU,,0.2,0.5,,2.75,FALSE
2017-04-10T19:18:00Z,2017,4,L67485-6,TOLT_MTH,NA,Temperature,7.3,deg C,,NA,NA,,7.3,FALSE
2017-04-10T20:40:00Z,2017,4,L67485-8,PATTER_3,NA,Total Alkalinity,41.7,mg CaCO3/L,,1,5,,41.7,FALSE
2017-04-10T20:40:00Z,2017,4,L67485-8,PATTER_3,NA,Fecal Coliform,7,CFU/100ml,,NA,NA,,7,FALSE
2017-04-10T18:31:00Z,2017,4,L67485-4,HARRIS_1,NA,Total Suspended Solids,15.9,mg/L,,0.5,1,,15.9,FALSE
2017-04-10T20:03:00Z,2017,4,L67485-7,GRIFFIN,NA,Turbidity,1.47,NTU,,0.2,0.5,,1.47,FALSE
2017-04-10T18:31:00Z,2017,4,L67485-4,HARRIS_1,NA,Orthophosphate Phosphorus,0.00414,mg/L,,5e-4,0.002,,0.00414,FALSE
2017-04-10T22:13:00Z,2017,4,L67485-12,NFK_SNQ,NA,Total Nitrogen,0.301,mg/L,,0.05,0.1,,0.301,FALSE
2017-04-10T19:18:00Z,2017,4,L67485-6,TOLT_MTH,NA,"Dissolved Oxygen, Field",12.2,mg/L,,0.5,1,,12.2,FALSE
2017-04-10T21:35:00Z,2017,4,L67485-14,SFK_SNQ,NA,"Dissolved Oxygen, Field",11.7,mg/L,,0.5,1,,11.7,FALSE
2017-04-10T21:32:00Z,2017,4,L67485-10,SFK_SNQ,NA,Total Nitrogen,0.387,mg/L,,0.05,0.1,,0.387,FALSE
