CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text,Value_orig,det_Flag
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Total Phosphorus,0.0985,mg/L,,0.005,0.01,,0.0985,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Total Suspended Solids,60.2,mg/L,,0.83,1.67,,60.2,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Fecal Coliform,260,CFU/100ml,,NA,NA,,260,FALSE
2017-04-12T17:14:00Z,2017,4,L67495-5,VA65A,NA,Turbidity,30.5,NTU,,0.2,0.5,,30.5,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,"Dissolved Oxygen, Field",11.3,mg/L,,0.5,1,,11.3,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,Total Nitrogen,1.6,mg/L,,0.05,0.1,,1.6,FALSE
2017-04-12T16:49:00Z,2017,4,L67496-4,VA45A,NA,Orthophosphate Phosphorus,0.00622,mg/L,,5e-4,0.002,,0.00622,FALSE
2017-04-12T15:59:00Z,2017,4,L67496-2,VA41A,NA,Fecal Coliform,56,CFU/100ml,,NA,NA,,56,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,Total Phosphorus,0.0879,mg/L,,0.005,0.01,,0.0879,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,"Conductivity, Field",79,umhos/cm,,0.5,10,,79,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Total Nitrogen,0.975,mg/L,,0.05,0.1,,0.975,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,"Dissolved Oxygen, Field",11.4,mg/L,,0.5,1,,11.4,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,Turbidity,31.2,NTU,,0.2,0.5,,31.2,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Orthophosphate Phosphorus,0.0167,mg/L,,5e-4,0.002,,0.0167,FALSE
2017-04-12T16:22:00Z,2017,4,L67495-6,VA42A,NA,Fecal Coliform,550,CFU/100ml,,NA,NA,,550,FALSE
2017-04-12T15:30:00Z,2017,4,L67496-3,VA37A,NA,"pH, Field",7.24,pH,,NA,NA,,7.24,FALSE
2017-04-12T14:56:00Z,2017,4,L67496-1,VA12A,NA,Temperature,8.4,deg C,,NA,NA,,8.4,FALSE
