CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Nitrite + Nitrate Nitrogen,0.336,mg/L,,0.01,0.04,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Fecal Coliform,17,CFU/100ml,,NA,NA,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,"Dissolved Oxygen, Field",11.3,mg/L,,0.5,1,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Orthophosphate Phosphorus,0.00699,mg/L,,5e-4,0.002,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Temperature,8.2,deg C,,NA,NA,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Suspended Solids,4.2,mg/L,,0.5,1,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Nitrogen,0.44,mg/L,,0.05,0.1,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Alkalinity,20.3,mg CaCO3/L,,1,5,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,"pH, Field",7.41,pH,,NA,NA,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Turbidity,2.9,NTU,,0.2,0.5,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Ammonia Nitrogen,0.01,mg/L,,0.002,0.01,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,"Conductivity, Field",58.7,umhos/cm,,0.5,10,
2017-04-12T17:21:00Z,2017,4,L67511-3,A319,NA,Total Phosphorus,0.0208,mg/L,,0.005,0.01,
1999-05-11T17:11:00Z,1999,5,L15535-2,A319,NA,Total Suspended Solids,3.7,mg/L,,0.5,1,
2018-03-14T17:20:00Z,2018,3,L69651-3,A319,NA,Temperature,7.2,deg C,,NA,NA,
1983-08-18T07:00:00Z,1983,8,8315398,A319,1,Turbidity,1,NTU,,NA,NA,1.0||King County Nstream Database/RS4
1993-06-15T19:35:00Z,1993,6,L1284-5,A319,NA,Total Suspended Solids,5.9,mg/L,,0.5,1,
1981-10-22T07:00:00Z,1981,10,8115646,A319,1,Fecal Coliform,8,ORG/100ml,E,NA,NA,8||King County Nstream Database/RS3
2019-08-14T16:51:00Z,2019,8,L72764-3,A319,NA,Nitrite + Nitrate Nitrogen,0.152,mg/L,,0.01,0.04,
1981-06-25T07:00:00Z,1981,6,8115373,A319,1,Ammonia Nitrogen,0.011,mg/L,,NA,NA,.011||King County Nstream Database/RS3
1989-07-19T07:00:00Z,1989,7,8906998,A319,1,Turbidity,0.9,NTU,,NA,NA,.9||King County Nstream Database/B53311
1977-06-07T07:00:00Z,1977,6,7715151,A319,1,Fecal Coliform,20,ORG/100ml,,NA,NA,20||King County Nstream Database/RVL
1993-08-10T16:30:00Z,1993,8,L1773-5,A319,NA,Enterococcus,25,CFU/100ml,,NA,NA,
2001-10-09T17:25:00Z,2001,10,L22312-2,A319,NA,"pH, Field",6.8,pH,,NA,NA,
1999-12-14T17:50:00Z,1999,12,L16886-2,A319,NA,Total Suspended Solids,24.1,mg/L,,0.5,1,
1995-08-15T17:50:00Z,1995,8,L6660-2,A319,NA,Total Suspended Solids,1.9,mg/L,,0.5,1,
2017-03-15T16:46:00Z,2017,3,L67269-3,A319,NA,Total Alkalinity,17,mg CaCO3/L,,1,5,
1996-11-13T17:30:00Z,1996,11,L9853-2,A319,NA,Enterococcus,100,CFU/100ml,,NA,NA,
1997-09-09T17:00:00Z,1997,9,L11678-2,A319,NA,Orthophosphate Phosphorus,0.00677,mg/L,,0.002,0.005,
1976-08-23T07:00:00Z,1976,8,7615476,A319,1,Temperature,13.7,deg C,,NA,NA,13.7||King County Nstream Database/RVL
1997-01-14T17:05:00Z,1997,1,L10178-2,A319,NA,"pH, Field",7.6,pH,,NA,NA,
1978-08-23T07:00:00Z,1978,8,7815323,A319,1,Total Phosphorus,0.02,mg/L,,NA,NA,.020||King County Nstream Database/RVL
2002-10-14T17:00:00Z,2002,10,L26091-2,A319,NA,Total Suspended Solids,2.2,mg/L,,0.5,1,
2018-05-16T17:12:00Z,2018,5,L70038-3,A319,NA,Nitrite + Nitrate Nitrogen,0.107,mg/L,,0.01,0.04,
1997-09-09T17:00:00Z,1997,9,L11678-2,A319,NA,Nitrite + Nitrate Nitrogen,0.279,mg/L,,0.05,0.1,
2016-02-10T17:34:00Z,2016,2,L64766-3,A319,NA,Fecal Coliform,3,CFU/100ml,,NA,NA,
2005-01-11T17:57:00Z,2005,1,L34352-2,A319,NA,Total Alkalinity,29.2,mg CaCO3/L,,1,10,
2006-04-12T16:57:00Z,2006,4,L38672-3,A319,NA,Total Phosphorus,0.0173,mg/L,,0.005,0.01,
