"","0305","0307","0309","0311","0317","0321","0322","0430","0434","0440","0442","0444","0446","0450","0456","0470","0474","0478","0484","0486","0498","0631","3106","A315","A319","A320","A432","A438","A499","A631","A632","B319","B484","C320","C370","C446","C484","D320","D444","G320","J484","KSHZ06","KTHA02","KTHA03","N484","S484","Year"
"10",0.4152728,0.5361356,0.5712248,0.3372968,1.121577,0.718194,1.609389,1.037148,1.187244,0.9621,0.3061064,0.54247115,1.3514115,0.2768654,0.5887694,0.9029997,0.6277574,0.4630331,0.48886265,0.1345592,1.0699815,0.6482261,0.32608775,0.7585323,0.2339786,0.77448,1.318578,0.1784207,1.487436,0.765099,0.3684872,0.1599014,0.3938294,0.4630331,0.8973711,1.215387,0.50445785,0.8185707,0.6787938,0.1803701,0.29782145,NA,NA,NA,0.5897441,NA,1979
"11",0.499097,0.5760983,0.5712248,0.4250198,1.262292,0.7003701,1.71258,1.206006,1.168482,1.05591,0.6844224,0.5410091,1.468674,0.4659572,0.6180104,0.8101278,0.5468573,0.6004658,0.4669319,0.35922755,1.14972,0.8851758,0.4103993,0.6189851,0.4542608,0.7125654,1.309197,0.35922755,1.628151,0.9001854,0.5351609,0.25103585,0.382133,0.5020211,0.9114426,1.421769,0.4298933,0.8166945,0.690051,0.5010464,0.3928547,NA,NA,NA,0.6072887,NA,1980
"12",0.5078693,0.606314,0.5790224,0.41576015,0.91378785,0.6180104,1.71258,1.121577,1.187244,1.168482,0.8476518,0.57366155,1.327959,0.5799971,0.7191321,0.9423999,0.7472751,0.8410851,0.6131369,0.3772595,1.206006,1.05591,0.5117681,0.60680135,0.3548414,0.7885515,1.309197,0.24518765,1.750104,1.102815,0.5536802,0.235928,0.5585537,0.4240451,0.990243,1.309197,0.8570328,0.8532804,0.8110659,0.25006115,0.7904277,NA,NA,NA,0.6423779,0.4123487,1981
"13",0.36020225,0.5205404,0.51323015,0.343145,0.990243,0.8617233,2.115963,1.2294585,1.2388395,1.271673,0.3889559,0.6703509,1.581246,0.54929405,0.8204469,1.0230765,0.86875905,0.7650925,0.499097,0.3792089,1.309197,0.8645376,0.3733607,0.4620584,0.2602955,0.9048759,1.4076975,0.2369027,1.731342,0.9189474,0.4659572,0.1686737,0.44889995,0.5829212,1.0606005,1.3420305,0.59900375,0.8842377,0.943338,0.1949906,0.58082515,NA,NA,NA,0.664789,0.44889995,1982
"14",0.39236735,0.430868,0.42160835,0.3256004,0.6862986,NA,1.6140795,1.2294585,1.187244,1.0324575,0.3753101,0.59120615,1.2857445,0.4659572,0.8232612,1.0043145,0.78808245,0.62044715,0.5117681,0.27637805,1.1731725,0.88658295,0.3187775,0.3899306,0.25103585,0.7106892,1.1544105,0.20619965,1.703199,0.81434925,0.32998655,0.1784207,0.40016495,0.39041795,NA,1.3232685,0.5702501,0.7866753,0.7360179,0.1472303,0.34363235,NA,NA,NA,0.7313274,0.46449515,1983
"15",0.46157105,0.5224898,0.52200245,0.37482275,0.6752362,NA,1.6985085,1.2200775,1.1919345,1.2388395,0.79664695,0.65358695,1.3701735,0.51030605,0.8044992,0.9855525,0.82748265,0.7029766,0.567326,0.2817389,1.177863,0.8832996,0.35630345,0.4649825,0.3294992,0.78995865,1.187244,0.21692135,1.6797465,0.92785935,0.5536802,0.2096111,0.41770955,0.4679066,NA,1.33734,0.61849775,0.8354565,0.8129421,0.3353474,0.4766789,NA,NA,NA,0.727575,0.5215151,1984
"16",0.4766789,0.5273633,0.5721995,0.32316365,0.6703509,NA,1.843914,1.14972,1.177863,1.24353,0.6092381,0.6919272,1.384245,0.4864259,0.7444608,0.9001854,0.8298279,0.77448,0.5195657,0.1511291,1.356102,0.8185707,0.3294992,0.499097,0.2495738,0.9029997,1.346721,0.2135099,2.003391,0.9621,0.4172222,0.1725725,0.4103993,0.3879812,NA,1.318578,0.5780477,0.990243,0.9020616,0.1901171,0.4279439,NA,NA,NA,0.8823615,0.4786283,1985
"17",0.48935,0.625808,0.5400344,0.3665378,0.6687244,NA,1.918962,1.084053,1.14972,1.215387,0.55124345,0.6141116,1.318578,0.4328174,0.8101278,0.9123807,0.7847991,0.5975417,0.5215151,0.17305985,1.140339,0.8373327,0.4474379,0.4279439,0.265169,0.88095435,1.346721,0.18280685,1.6422225,0.84249225,0.4844765,0.17890805,0.4259945,0.4669319,NA,1.206006,0.56293985,0.9499047,0.8223231,0.2183834,0.4142981,NA,NA,NA,0.8129421,0.50738195,1986
"18",0.3411956,0.3840824,0.43525415,0.4172222,0.6394538,NA,1.6797465,1.1168865,1.2482205,1.3420305,0.421121,0.606314,1.356102,0.52297715,0.7941801,0.9949335,0.81810165,0.708813,0.6228839,0.09703325,1.234149,0.7097511,0.42453245,0.4805777,0.29684675,0.8410851,1.262292,0.1940159,1.9048905,0.7294512,0.41283605,0.1901171,0.3996776,0.68247325,NA,1.356102,0.6828325,0.9667905,0.8317041,0.1209134,0.33486005,NA,NA,NA,0.91660215,0.57171215,1987
"19",0.3714113,0.35630345,0.4269692,0.36702515,0.4786283,NA,1.637532,1.0418385,1.093434,1.196625,0.8204469,0.5751236,1.262292,0.3967535,0.61362425,0.9189474,0.7772943,0.8645376,0.6608972,0.1228628,1.177863,1.046529,0.3889559,0.5146922,0.2768654,0.90815925,1.093434,0.32218895,1.7266515,0.8514042,0.401627,0.1881677,0.44305175,0.401627,NA,1.2388395,0.70552965,1.046529,0.7941801,0.2485991,0.5429585,1.224768,1.24353,1.262292,0.67363425,0.58925675,1988
"20",0.37579745,0.4084499,0.43622885,0.4172222,0.68905825,NA,1.8110805,1.0512195,1.0887435,1.252911,1.24353,0.77588715,1.468674,0.4220957,0.55124345,0.8598471,0.8035611,0.84171235,0.7561507,0.1910918,1.2013155,1.093434,0.4240451,0.68207715,0.3031823,0.9480285,1.2200775,0.29197325,1.825152,1.046529,0.62773015,0.21789605,0.4659572,0.6141116,NA,1.5108885,0.66771115,1.084053,0.990243,0.284663,0.48301445,1.215387,1.2857445,1.252911,0.7847991,0.7031844,1989
"21",0.245675,0.29441,0.304157,0.323651,0.4640078,NA,1.71258,0.9386475,1.14972,0.943338,0.7782324,0.479603,1.1450295,0.421121,0.3967535,0.643858,0.5916935,0.6759795,0.567326,0.304157,1.05591,0.8673519,0.313904,0.469856,0.29441,0.9536571,0.9198855,0.216434,1.80639,0.727575,0.216434,0.206687,0.29441,0.460109,NA,1.33734,0.604321,1.05591,0.77448,0.148205,0.4649825,1.290435,1.196625,1.24353,0.840147,0.577073,1990
"22",0.2797895,0.333398,0.3480185,0.352892,0.479603,NA,1.571865,1.14972,1.290435,1.43115,0.479603,0.653605,1.43115,0.460109,0.4747295,0.8448375,0.830766,0.8354565,0.58682,0.2797895,1.102815,0.9105045,0.3675125,0.7135035,0.274916,0.812004,1.102815,0.2213075,1.9002,0.877671,0.177446,0.206687,0.2700425,0.736956,NA,1.61877,0.6209345,0.943338,0.858909,0.206687,0.401627,1.43115,1.43115,1.33734,0.8635995,0.577073,1991
"23",0.29441,0.2505485,0.29441,0.29441,0.421121,NA,1.52496,0.830766,1.102815,1.14972,0.421121,0.479603,1.24353,0.430868,0.450362,0.616061,0.655049,0.6014405,0.469856,0.157952,0.933957,0.690051,0.29441,0.663169,0.2310545,0.821385,1.14972,0.167699,1.80639,0.8073135,0.1628255,0.177446,0.19694,0.802623,0.858909,1.290435,0.547832,1.05591,0.86829,0.1433315,0.3480185,1.24353,1.33734,1.290435,0.7041225,0.547832,1992
"24",0.333398,0.343145,0.323651,0.3090305,0.508844,0.727575,1.99401,1.14972,1.102815,1.14972,0.793242,0.5819465,1.384245,0.401627,0.5234645,0.802623,0.802623,0.7979325,0.616061,0.167699,0.952719,1.05591,0.323651,0.518591,0.1920665,0.933957,1.14972,0.2115605,1.947105,0.9621,0.3870065,0.148205,0.313904,0.58682,0.746337,1.43115,0.625808,1.14972,0.933957,0.2310545,0.4649825,1.33734,1.33734,1.290435,0.67255,0.567326,1993
"25",0.3421703,0.3441197,0.3470438,0.323651,0.4328174,0.85187325,1.7735565,0.849528,1.046529,1.24353,0.6414032,0.51030605,1.346721,0.4191716,0.44792525,0.8457756,0.77588715,0.8692281,0.63722965,0.18085745,0.9536571,1.084053,0.3636137,0.49958435,0.304157,0.9621,1.168482,0.2680931,1.9048905,0.98602155,0.36507575,0.1959653,0.27540335,0.7041225,0.8317041,1.3514115,0.71866305,1.290435,0.9564714,0.2154593,0.5332115,1.365483,1.421769,1.309197,0.6684747,0.68898505,1994
"26",0.2963594,0.3636137,0.39334205,0.3782342,0.4591343,0.8504661,1.947105,1.05591,0.8767329,1.234149,0.5010464,0.4523114,1.1075055,0.42843125,0.4844765,0.73179645,0.79840155,0.7613466,0.5566043,0.1462556,0.89221155,0.88376865,0.36605045,0.4562102,0.2973341,1.027767,0.94380705,0.2096111,1.9002,0.91941645,0.2856377,0.21789605,0.2797895,0.943338,0.8973711,1.3420305,0.7322655,1.2200775,0.8035611,0.1793954,0.4630331,1.3983165,1.5296505,1.4076975,0.9555333,0.59705435,1995
"27",0.37969625,0.3996776,0.3957788,0.3948041,0.5585537,0.76556805,1.918962,1.112196,1.215387,1.206006,0.9180093,0.5507561,1.327959,0.46059635,0.5975417,0.7857372,0.79183485,0.7622847,0.5468573,0.3870065,0.9855525,0.8898663,0.4191716,0.4230704,0.3080558,0.971481,1.102815,0.26468165,2.069058,0.92410695,0.2291051,0.2086364,0.2242316,0.9705429,0.980862,1.4733645,0.65358695,1.05591,1.037148,0.2836883,0.4337921,1.5577935,1.637532,1.478055,0.8645376,0.6024152,1996
