SITE_CODE,SITE_NAME,LAT,LON,Date,AveQ,Year,Month,Week
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-01,1333,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-02,1179,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-03,1032,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-04,1053,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-05,1268,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-06,2141,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-07,2235,1976,4,14
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-08,2435,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-09,2917,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-10,2314,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-11,2643,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-12,3019,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-13,2688,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-14,2032,1976,4,15
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-15,1967,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-16,1632,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-17,1451,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-18,1460,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-19,1448,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-20,1736,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-21,2150,1976,4,16
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-22,1771,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-23,1607,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-24,1577,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-25,1671,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-26,1733,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-27,1604,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-28,1553,1976,4,17
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-29,1769,1976,4,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-04-30,2176,1976,4,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-01,2680,1976,5,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-02,3273,1976,5,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-03,3560,1976,5,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-04,3296,1976,5,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-05,2774,1976,5,18
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-06,2291,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-07,2325,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-08,2579,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-09,2883,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-10,3644,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-11,3084,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-12,2518,1976,5,19
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-13,2251,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-14,2301,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-15,2203,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-16,2016,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-17,2107,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-18,1890,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-19,1631,1976,5,20
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-20,1512,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-21,1024,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-22,668,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-23,673,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-24,702,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-25,600,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-26,404,1976,5,21
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-27,374,1976,5,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-28,370,1976,5,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-29,380,1976,5,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-30,406,1976,5,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-05-31,394,1976,5,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-01,392,1976,6,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-02,408,1976,6,22
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-03,396,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-04,388,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-05,383,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-06,380,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-07,374,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-08,376,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-09,376,1976,6,23
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-10,372,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-11,374,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-12,690,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-13,1096,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-14,1047,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-15,1275,1976,6,24
12113000,"GREEN RIVER NEAR AUBURN, WA",47.3123228,-122.2040082,1976-06-16,1355,1976,6,24
